family,split,group_type,mean_delta_pp,median_delta_pp,n_groups,n_improved
1B,overall,country,2.195584516664778,2.036697247706422,17,17
1B,overall,topic,2.2059678215944145,2.3958658031354174,8,8
1B,ambiguous,country,4.111844507668109,4.123505976095617,17,17
1B,ambiguous,topic,4.121533076004105,3.975854882944573,8,8
1B,validated_ambiguous,country,-2.2222222222222223,-2.2222222222222223,1,0
1B,validated_ambiguous,topic,-1.6666666666666667,0.0,8,0
3B,overall,country,4.995458035452199,5.0447227191413235,17,17
3B,overall,topic,5.068533368013258,4.700803500098623,8,8
3B,ambiguous,country,7.870605738297538,8.209099709583736,17,17
3B,ambiguous,topic,8.111624743745029,8.121242396910196,8,8
3B,validated_ambiguous,country,-8.888888888888891,-8.888888888888891,1,0
3B,validated_ambiguous,topic,-11.666666666666668,-15.0,8,2
