family,split,variant,mean_top_margin,mean_correct_margin,mean_top_margin_correct_only,mean_correct_margin_correct_only,n_items,n_correct_items
1B,ambiguous,tplus_eplus,1.330871433856978,-0.9229654585978916,1.632842720957691,1.632842720957691,16409,5551
1B,ambiguous,tplus_eminus,1.35264849253643,-1.0632916674802089,1.7218366677156374,1.7218366677156374,16409,4858
1B,ambiguous,tminus_eplus,1.128450493034176,-0.8854527725409082,1.484055249895045,1.484055249895045,16409,4594
1B,ambiguous,tminus_eminus,1.1162419862684756,-0.9786891247778041,1.4894055586871442,1.4894055586871442,16409,4031
1B,validated_ambiguous,tplus_eplus,0.6239846636313218,-1.0489669782460778,0.7855994370505718,0.7855994370505718,18,3
1B,validated_ambiguous,tplus_eminus,0.50889629955816,-0.8688725020261858,0.6863631530055049,0.6863631530055049,18,3
1B,validated_ambiguous,tminus_eplus,0.6107968316982015,-0.9945158175683854,0.6024729160002874,0.6024729160002874,18,3
1B,validated_ambiguous,tminus_eminus,0.5974695565573067,-1.060830285843688,0.28421135537972475,0.28421135537972475,18,2
3B,ambiguous,tplus_eplus,0.9079558780035255,-0.4252942611986439,1.3301235354294094,1.3301235354294094,16409,4049
3B,ambiguous,tplus_eminus,1.7648888853213396,-1.1691256045915868,2.263291379081052,2.263291379081052,16409,1990
3B,ambiguous,tminus_eplus,0.8901512251149366,-0.5420939444213619,1.314048484022067,1.314048484022067,16409,2672
3B,ambiguous,tminus_eminus,1.3584948826095122,-1.0763155864422365,2.00015991882075,2.00015991882075,16409,1128
3B,validated_ambiguous,tplus_eplus,0.6738182117311885,-0.958551878420709,0.6636267642386947,0.6636267642386947,18,1
3B,validated_ambiguous,tplus_eminus,1.355061650620408,-1.108757508858138,0.6000854537827183,0.6000854537827183,18,1
3B,validated_ambiguous,tminus_eplus,0.7375491025944296,-0.6718153641896222,,,18,0
3B,validated_ambiguous,tminus_eminus,1.2083577846097424,-0.9749349037486899,0.834338731097018,0.834338731097018,18,1
