checkpoint,setting,overall,explicit,ambiguous
500,T+/I+,0.31023229026684584,0.31023229026684584,0.0
500,T-/I-,0.2830903238023102,0.2830903238023102,0.0
1500,T+/I+,0.3287204171680706,0.3287204171680706,0.0
1500,T-/I-,0.2819541753455785,0.2819541753455785,0.0
2500,T+/I+,0.36238293444328823,0.36238293444328823,0.0
2500,T-/I-,0.2831550136849963,0.2831550136849963,0.0
3500,T-/I-,0.3614649681528662,0.3614649681528662,0.0
4500,T+/I+,0.3696670135275754,0.3696670135275754,0.0
7764,T+/I+,0.36036036036036034,0.36036036036036034,0.0
7764,T-/I-,0.3481781376518219,0.3481781376518219,0.0
