config,seed,benchmark,variant,metric,rows,value,path
gemma4_e2b,seed_41,geomlama,with_metadata,accuracy,80,48.75,results/external_protocol_probes/geomlama/code_strict/gemma4_e2b/seed_41/geomlama/llama3_chat_with_metadata/geomlama_llama3_chat_with_metadata.jsonl
gemma4_e2b,seed_41,geomlama,without_metadata,accuracy,80,45.0,results/external_protocol_probes/geomlama/code_strict/gemma4_e2b/seed_41/geomlama/llama3_chat_without_metadata/geomlama_llama3_chat_without_metadata.jsonl
llama32_1b,seed_41,geomlama,with_metadata,accuracy,80,25.0,results/external_protocol_probes/geomlama/code_strict/llama32_1b/seed_41/geomlama/llama3_chat_with_metadata/geomlama_llama3_chat_with_metadata.jsonl
llama32_1b,seed_41,geomlama,without_metadata,accuracy,80,32.5,results/external_protocol_probes/geomlama/code_strict/llama32_1b/seed_41/geomlama/llama3_chat_without_metadata/geomlama_llama3_chat_without_metadata.jsonl
llama32_3b,seed_41,geomlama,with_metadata,accuracy,80,21.25,results/external_protocol_probes/geomlama/code_strict/llama32_3b/seed_41/geomlama/llama3_chat_with_metadata/geomlama_llama3_chat_with_metadata.jsonl
llama32_3b,seed_41,geomlama,without_metadata,accuracy,80,27.500000000000004,results/external_protocol_probes/geomlama/code_strict/llama32_3b/seed_41/geomlama/llama3_chat_without_metadata/geomlama_llama3_chat_without_metadata.jsonl
maple_1b,seed_41,geomlama,custom_tminus_eminus,accuracy,80,36.25,results/external_protocol_probes/geomlama/code_strict/maple_1b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl
maple_1b,seed_41,geomlama,custom_tplus_eplus,accuracy,80,36.25,results/external_protocol_probes/geomlama/code_strict/maple_1b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl
maple_1b,seed_41,globalopinionqa,custom_tminus_eminus,accuracy,80,32.5,results/external_protocol_probes/globalopinionqa/legacy_pair/maple_1b/seed_41/globalopinionqa/custom_tminus_eminus/globalopinionqa_custom_tminus_eminus.jsonl
maple_1b,seed_41,globalopinionqa,custom_tplus_eplus,accuracy,80,32.5,results/external_protocol_probes/globalopinionqa/legacy_pair/maple_1b/seed_41/globalopinionqa/custom_tplus_eplus/globalopinionqa_custom_tplus_eplus.jsonl
maple_3b,seed_41,geomlama,custom_tminus_eminus,accuracy,80,50.0,results/external_protocol_probes/geomlama/code_strict/maple_3b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl
maple_3b,seed_41,geomlama,custom_tplus_eplus,accuracy,80,41.25,results/external_protocol_probes/geomlama/code_strict/maple_3b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl
