group,label,row_key,track,blend,geomlama,globalmmlu_cs,globalopinionqa,normad,worldvaluebench
Gemma-4 family,Gemma-4-E2B Base,gemma4_e2b,base,-0.2544529262086514,2.666666666666667,0.25252525252525254,0.25463434508046445,6.114698063045955,-0.001028806584362163
Gemma-4 family,Gemma-4-E2B-it,gemma4_e2b,chat,-0.5089058524173028,2.0,0.5050505050505051,-0.0509268690160929,1.1014052411697683,0.029092363968907187
Gemma-4 family,Gemma-4-E4B Base,gemma4_e4b,base,5.089058524173027,5.333333333333334,2.904040404040404,-0.5500101853738032,1.709077098366882,0.004039018442310582
Gemma-4 family,Gemma-4-E4B-it,gemma4_e4b,chat,-1.5267175572519083,1.3333333333333335,2.6515151515151514,-0.987981258912202,2.5066464109380937,-0.009087791495198894
LLaMA family,LLaMA-3.2-1B Base,llama32_1b,base,0.0,-2.666666666666667,2.0202020202020203,-0.12222448563862294,1.4052411697683251,0.01693720469440635
LLaMA family,LLaMA-3.2-1B Inst.,llama32_1b,chat,-1.2722646310432568,5.333333333333334,-1.0101010101010102,-0.24444897127724588,0.0,0.030845145557079734
LLaMA family,LLaMA-3.2-3B Base,llama32_3b,base,1.5267175572519083,-5.333333333333334,0.7575757575757576,0.3972295783255245,1.89897455374098,-0.025605852766346526
LLaMA family,LLaMA-3.2-3B Inst.,llama32_3b,chat,-9.16030534351145,-4.666666666666667,-2.904040404040404,-0.9574251375025463,-0.5317128750474744,-0.09546944063404972
MAPLE family,MAPLE 1B Base,maple_1b,base,5.852417302798982,15.333333333333332,0.12626262626262627,1.2731717254023223,1.4812001519179643,0.0004953513183966196
MAPLE family,MAPLE 1B Chat,maple_1b,chat,0.2544529262086514,5.333333333333334,-0.05708169818052087,-3.065797514768792,3.79794910748196,0.0005334552659655989
MAPLE family,MAPLE 3B Base,maple_3b,base,13.486005089058525,2.0,3.9141414141414144,8.443674882868201,5.051272312951006,0.00485825331504347
MAPLE family,MAPLE 3B Chat,maple_3b,chat,-1.5267175572519083,-4.0,0.34249018908312523,-2.943573029130169,-1.5571591340676034,-0.028806584362139953
Ministral family,Ministral-3-3B Base,ministral3_3b,base,-0.5089058524173028,-3.3333333333333335,0.0,-0.33611733550621303,-2.0508925180402584,-0.03640832190214904
Ministral family,Ministral-3-3B Inst.,ministral3_3b,chat,-0.7633587786259541,-12.666666666666668,-2.6515151515151514,0.07129761662253005,-4.177744018230156,-0.015146319158664823
Qwen2.5 family,Qwen2.5-1.5B Base,qwen25_1p5b,base,-0.7633587786259541,-10.666666666666668,0.7575757575757576,-2.098187003463027,4.9753133308013675,0.006172839506172811
Qwen2.5 family,Qwen2.5-1.5B Inst.,qwen25_1p5b,chat,-1.5267175572519083,-8.666666666666668,-0.25252525252525254,-0.8250152780607047,-2.6965438663121915,-0.022176497485139446
Qwen2.5 family,Qwen2.5-3B Base,qwen25_3b,base,-1.7811704834605597,0.0,-0.25252525252525254,-0.4379710735383988,9.57083175085454,-0.022290809327846384
Qwen2.5 family,Qwen2.5-3B Inst.,qwen25_3b,chat,1.2722646310432568,-2.666666666666667,0.0,-0.24444897127724588,-0.0759589821496392,0.009202103337905776
Qwen3.5 family,Qwen3.5-0.8B Base,qwen35_0p8b,base,-0.7633587786259541,-1.3333333333333335,0.7575757575757576,-0.020370747606437156,-0.49373338397265476,0.0012574302697759276
Qwen3.5 family,Qwen3.5-0.8B Chat,qwen35_0p8b,chat,-2.035623409669211,-2.666666666666667,1.0101010101010102,-0.22407822367080873,-2.1268515001898978,0.03989483310470959
Qwen3.5 family,Qwen3.5-2B Base,qwen35_2b,base,1.0178117048346056,-3.3333333333333335,0.6313131313131313,0.22407822367080873,-2.5066464109380937,0.009773662551440354
Qwen3.5 family,Qwen3.5-2B Chat,qwen35_2b,chat,0.2544529262086514,1.3333333333333335,0.7575757575757576,0.010185373803218578,-3.987846562856058,-0.010288065843621408
Qwen3.5 family,Qwen3.5-4B Base,qwen35_4b,base,0.5089058524173028,2.0,0.5050505050505051,-0.23426359747402728,0.41777440182301556,0.0
Qwen3.5 family,Qwen3.5-4B Chat,qwen35_4b,chat,-1.5267175572519083,-3.3333333333333335,-0.3787878787878788,-0.17315135465471582,0.0,0.0
