group,label,row_key,track,localnewsqa_ambiguous,localnewsqa_exact_pair,localnewsqa_explicit,localnewsqa_margin_switch,localnewsqa_overall
Gemma-4 family,Gemma-4-E2B Base,gemma4_e2b,base,2.443780851971479,0.5241026266073496,2.080657590547136,1.4687061978182705,2.2467525227184035
Gemma-4 family,Gemma-4-E2B-it,gemma4_e2b,chat,3.4919861051861782,4.034371381558901,0.6062162856408939,8.251569260771529,1.9261860957796733
Gemma-4 family,Gemma-4-E4B Base,gemma4_e4b,base,1.1274300688646475,1.243220184045341,0.611353711790393,3.4310439393016026,0.8474103807771645
Gemma-4 family,Gemma-4-E4B-it,gemma4_e4b,chat,7.221646657322202,8.458772624779085,2.245055227331107,17.08818331403498,4.5213803869097395
LLaMA family,LLaMA-3.2-1B Base,llama32_1b,base,2.084222073252483,2.754585897982814,-1.572052401746725,6.5208117496495825,0.10035122930255895
LLaMA family,LLaMA-3.2-1B Inst.,llama32_1b,chat,1.6759095618258273,2.4620635017368517,-2.7690726945800157,5.570113961850205,-0.7359090148854324
LLaMA family,LLaMA-3.2-3B Base,llama32_3b,base,5.003351819123652,5.862636358096167,-2.178268687387619,12.078737278322873,1.106651056475442
LLaMA family,LLaMA-3.2-3B Inst.,llama32_3b,chat,-0.01828264976537266,3.9490523493204948,-8.528127408168508,8.647693339021268,-4.635669286948765
MAPLE family,MAPLE 1B Base,maple_1b,base,4.369553293924066,2.6448899993905783,0.5394297456974056,6.118593454811385,2.2913530690750963
MAPLE family,MAPLE 1B Chat,maple_1b,chat,4.393930160277897,3.796696934609056,0.5342923195479065,9.324151380340057,2.299715671516976
MAPLE family,MAPLE 3B Base,maple_3b,base,7.910293131817905,6.362362118349687,2.5122013871050606,15.387896885855323,4.9813235212131355
MAPLE family,MAPLE 3B Chat,maple_3b,chat,8.842708269851911,4.582850874520081,1.6131518109427176,9.208361265159363,4.9199977699726825
Ministral family,Ministral-3-3B Base,ministral3_3b,base,5.003351819123652,5.271497349015784,-0.23118417672745953,11.975135596319094,2.1631264982996043
Ministral family,Ministral-3-3B Inst.,ministral3_3b,chat,5.789505759034676,6.563471265768786,0.7449267916773696,14.534706563471268,3.052349891286168
Qwen2.5 family,Qwen2.5-1.5B Base,qwen25_1p5b,base,2.6936437320982387,2.0659394234871105,-0.4880554842024146,4.089219330855019,0.9672743491107767
Qwen2.5 family,Qwen2.5-1.5B Inst.,qwen25_1p5b,chat,8.470961057956,9.537448960936072,-3.164654508091446,17.44164787616552,2.1575514300050176
Qwen2.5 family,Qwen2.5-3B Base,qwen25_3b,base,8.056554329940885,11.08537997440429,-4.05856665810429,19.726979096837102,1.4829681663600378
Qwen2.5 family,Qwen2.5-3B Inst.,qwen25_3b,chat,8.410018892071424,9.842159790358949,-0.7963010531723606,19.33085501858736,3.4147293304342976
Qwen3.5 family,Qwen3.5-0.8B Base,qwen35_0p8b,base,3.8942044000243765,3.8332622341398013,-1.5052658618032366,7.983423730879395,0.9644868149634833
Qwen3.5 family,Qwen3.5-0.8B Chat,qwen35_0p8b,chat,3.504174538363093,3.315253824120909,-1.895710249165168,7.319154122737522,0.5742320343424206
Qwen3.5 family,Qwen3.5-2B Base,qwen35_2b,base,9.049911633859468,9.56792004387836,-0.056511687644490105,16.826132000731306,4.10882533311033
Qwen3.5 family,Qwen3.5-2B Chat,qwen35_2b,chat,8.507526357486746,8.854896703028825,1.839198561520678,16.00341276128954,4.889334894352456
Qwen3.5 family,Qwen3.5-4B Base,qwen35_4b,base,1.5601194466451338,1.651532695471997,0.025687130747495505,3.376195990005485,0.7275464124435524
Qwen3.5 family,Qwen3.5-4B Chat,qwen35_4b,chat,1.0421110366262416,1.2310317508684259,0.16953506293347032,2.705832165275154,0.5686569660478341
