variant,label,country,country_code,continent,category,RC1,RC2,target_distance,target_rank,nearest_country,nearest_distance,top1_hit,top3_hit
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Bangladesh,bd,Asia,African-Islamic,-2.3360309900800718,5.574013168268513,6.847116554596356,9,Hong Kong SAR,5.316969493616109,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Canada,ca,America,English-Speaking,-1.9757175861258869,4.202848553705354,6.214818668305068,15,Hong Kong SAR,4.043822577058381,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Ghana,gh,Africa,African-Islamic,-2.0829095778694877,4.83902292145947,6.371940220907809,12,Hong Kong SAR,4.585072213133282,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Great Britain,gb,Europe,English-Speaking,-2.496792446667784,5.59264259940054,7.563666567848284,13,Hong Kong SAR,5.430321663843471,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Hong Kong SAR,hk,Asia,Confucian,-2.0567250097819105,4.567084037012856,4.363439148980814,1,Hong Kong SAR,4.363439148980814,1,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",India,in,Asia,West & South Asia,-2.459948118488525,5.516567865814553,6.166884232647507,4,Hong Kong SAR,5.347868538867483,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Ireland,ie,Europe,English-Speaking,-1.6780307023349454,3.3856996824574277,5.275416620751824,13,Hong Kong SAR,3.2757224663575704,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Kenya,ke,Africa,African-Islamic,-2.2071730922155246,5.055572360620582,6.031551912783423,8,Hong Kong SAR,4.83083443353838,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Malaysia,my,Asia,West & South Asia,-1.7761361796210935,4.265942357671072,4.68371428371795,3,Hong Kong SAR,3.951867049802192,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Nigeria,ng,Africa,African-Islamic,-2.378191932791327,5.084339766174611,6.077392592409049,7,Hong Kong SAR,4.963567406022331,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Pakistan,pk,Asia,African-Islamic,-2.4313855525595347,5.608429075334299,6.584359663454196,6,Hong Kong SAR,5.40234449116957,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Philippines,ph,Asia,Latin America,-2.104977860094026,4.515287236070654,5.988219610899147,10,Hong Kong SAR,4.358195026586619,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Singapore,sg,Asia,West & South Asia,-2.315994319759364,5.259954018075897,5.590358588738049,2,Hong Kong SAR,5.0577866600432815,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",South Africa,za,Africa,African-Islamic,-1.6189863802132607,4.201138577223942,4.778468967421608,5,Hong Kong SAR,3.798935208686356,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",United States,us,America,English-Speaking,-2.069845288908704,4.463055045787312,6.0565027613531575,12,Hong Kong SAR,4.29608944191795,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Bangladesh,bd,Asia,African-Islamic,-1.5562881129703985,5.234564186719725,6.384241242531598,9,Hong Kong SAR,4.593760382871044,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Canada,ca,America,English-Speaking,-1.6578592722863064,4.300701343251897,6.0772363080451095,15,Hong Kong SAR,3.899652652585236,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Ghana,gh,Africa,African-Islamic,-1.3764953342889608,4.4222359797463495,5.881675322250721,12,Hong Kong SAR,3.8199640542481066,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Great Britain,gb,Europe,English-Speaking,-1.5619845008420523,4.531632193304196,6.150192958313756,13,Hong Kong SAR,4.018727192652518,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Hong Kong SAR,hk,Asia,Confucian,-1.8925192014885184,5.91874964446769,5.352669396793292,1,Hong Kong SAR,5.352669396793292,1,1
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",India,in,Asia,West & South Asia,-1.7073325297980926,5.185082943175798,5.629844858862112,4,Hong Kong SAR,4.63452023144472,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Ireland,ie,Europe,English-Speaking,-1.994462876593528,4.677352368099598,6.557638502469116,14,Hong Kong SAR,4.404701219068921,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Kenya,ke,Africa,African-Islamic,-1.633743471040153,5.005351162934792,5.824243183087823,6,Hong Kong SAR,4.4445045562655805,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Malaysia,my,Asia,West & South Asia,-1.989653173199735,4.859934308600193,5.314490752203477,3,Hong Kong SAR,4.54153642088965,0,1
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Nigeria,ng,Africa,African-Islamic,-1.4804376412031397,4.733616228057116,5.594021566682306,8,Hong Kong SAR,4.133796778415958,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Pakistan,pk,Asia,African-Islamic,-1.5929684223626548,5.345094820455866,6.166299589984084,7,Hong Kong SAR,4.706993905136097,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Philippines,ph,Asia,Latin America,-1.732493726339873,4.953180579325319,6.299714846644399,11,Hong Kong SAR,4.458738212230024,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Singapore,sg,Asia,West & South Asia,-1.8846808871265464,5.539393570417334,5.667833917321967,2,Hong Kong SAR,5.02773013920345,0,1
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",South Africa,za,Africa,African-Islamic,-1.711667956565257,5.080513207728915,5.62653786832222,5,Hong Kong SAR,4.550619852905964,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",United States,us,America,English-Speaking,-1.5681585467765304,4.228081316038312,5.577006017397216,11,Hong Kong SAR,3.786190088848724,0,0
