variant,label,country,country_code,continent,category,RC1,RC2,target_distance,target_rank,nearest_country,nearest_distance,top1_hit,top3_hit
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Bangladesh,bd,Asia,African-Islamic,-2.3360309900800713,5.574013168268513,6.847116554596356,9,Hong Kong SAR,5.316969493616109,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Canada,ca,America,English-Speaking,-1.9757175861258869,4.202848553705354,6.2148186683050675,15,Hong Kong SAR,4.043822577058381,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Ghana,gh,Africa,African-Islamic,-2.0829095778694873,4.83902292145947,6.371940220907809,12,Hong Kong SAR,4.585072213133282,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Great Britain,gb,Europe,English-Speaking,-2.496792446667784,5.5926425994005395,7.563666567848284,13,Hong Kong SAR,5.430321663843471,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Hong Kong SAR,hk,Asia,Confucian,-2.0567250097819105,4.567084037012856,4.363439148980814,1,Hong Kong SAR,4.363439148980814,1,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",India,in,Asia,West & South Asia,-2.4599481184885255,5.516567865814553,6.166884232647507,4,Hong Kong SAR,5.347868538867483,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Ireland,ie,Europe,English-Speaking,-1.6780307023349454,3.3856996824574273,5.275416620751824,13,Hong Kong SAR,3.2757224663575704,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Kenya,ke,Africa,African-Islamic,-2.2071730922155246,5.055572360620582,6.0315519127834225,8,Hong Kong SAR,4.83083443353838,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Malaysia,my,Asia,West & South Asia,-1.7761361796210937,4.265942357671072,4.68371428371795,3,Hong Kong SAR,3.951867049802192,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Nigeria,ng,Africa,African-Islamic,-2.378191932791327,5.084339766174611,6.077392592409049,7,Hong Kong SAR,4.963567406022331,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Pakistan,pk,Asia,African-Islamic,-2.4313855525595347,5.608429075334299,6.584359663454196,6,Hong Kong SAR,5.40234449116957,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Philippines,ph,Asia,Latin America,-2.104977860094026,4.515287236070654,5.988219610899147,10,Hong Kong SAR,4.358195026586619,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Singapore,sg,Asia,West & South Asia,-2.315994319759364,5.259954018075897,5.590358588738049,2,Hong Kong SAR,5.0577866600432815,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",South Africa,za,Africa,African-Islamic,-1.6189863802132607,4.201138577223942,4.778468967421608,5,Hong Kong SAR,3.7989352086863555,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",United States,us,America,English-Speaking,-2.0698452889087036,4.463055045787312,6.0565027613531575,12,Hong Kong SAR,4.29608944191795,0,0
