country,#variant,a008,a165,e018,e025,f063,f118,f120,g006,y002,y003,country_code,continent,RC1,RC2,model,label,variant,train_metadata,eval_metadata
Bangladesh,variant 0,4,1,1,3,1,1,8,4,2,-1,bd,Asia,-0.6039286687096445,4.9120122074451995,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 1,4,1,2,3,1,1,1,4,2,-1,bd,Asia,-1.7281396007465222,5.312951958421098,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 2,4,1,1,3,1,1,8,4,2,-1,bd,Asia,-0.6039286687096445,4.9120122074451995,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 3,4,2,1,3,1,1,1,4,2,-1,bd,Asia,-2.6053467158473462,5.119338714755088,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 4,4,2,3,1,1,8,1,4,2,-1,bd,Asia,-0.3181094359756431,6.033087544356965,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 5,4,2,2,3,1,1,1,4,2,-1,bd,Asia,-2.640746245396946,5.8492564471391955,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 6,4,1,1,3,1,1,1,4,2,-1,bd,Asia,-1.6927400711969225,4.58303422603699,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 7,4,2,1,3,1,1,3,4,2,-1,bd,Asia,-2.294257743708124,5.213332423728862,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 8,4,2,2,3,1,1,1,3,2,-1,bd,Asia,-2.436355781153948,4.76868619803934,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 9,4,1,2,3,1,1,8,4,2,-1,bd,Asia,-0.6393281982592441,5.641929939829308,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
