country,#variant,a008,a165,e018,e025,f063,f118,f120,g006,y002,y003,country_code,continent,RC1,RC2,model,label,variant,train_metadata,eval_metadata
Albania,variant 0,1,2,2,3,1,1,1,1,2,-1,al,Europe,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Albania,variant 1,1,2,2,3,1,1,1,1,2,-1,al,Europe,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Albania,variant 2,1,2,2,3,1,1,1,1,2,-1,al,Europe,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Albania,variant 3,1,2,2,3,1,1,1,1,2,-1,al,Europe,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Albania,variant 4,1,2,2,3,1,1,1,1,2,-1,al,Europe,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Albania,variant 5,1,2,2,3,1,1,1,1,2,-1,al,Europe,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Albania,variant 6,1,2,2,3,1,1,1,1,2,-1,al,Europe,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Albania,variant 7,1,2,2,3,1,1,1,1,2,-1,al,Europe,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Albania,variant 8,1,2,2,3,1,1,1,1,2,-1,al,Europe,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Albania,variant 9,1,2,2,3,1,1,1,1,2,-1,al,Europe,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Algeria,variant 0,1,2,2,3,1,1,1,1,2,-1,dz,Africa,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Algeria,variant 1,1,2,2,3,1,1,1,4,2,-1,dz,Africa,-0.8327649763127449,2.5223706338927716,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
Algeria,variant 2,1,2,2,3,1,1,1,1,2,-1,dz,Africa,-0.2195935835837521,-0.7193401134067976,/path/to/metacul/models/combined_with_metadata_1b,"MAPLE 1B (T+, I+)",maple_1b_tplus_eplus,True,True
