variant,label,country,country_code,continent,category,RC1,RC2,target_distance,target_rank,nearest_country,nearest_distance,top1_hit,top3_hit
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Bangladesh,bd,Asia,African-Islamic,-2.8820104969575238,5.590272442428188,7.001118870880737,9,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Canada,ca,America,English-Speaking,-2.8820104969575238,5.590272442428188,7.852913140318132,15,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Ghana,gh,Africa,African-Islamic,-2.8820104969575238,5.590272442428188,7.27193555776286,11,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Great Britain,gb,Europe,English-Speaking,-2.8820104969575238,5.590272442428188,7.814466460548232,14,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Hong Kong SAR,hk,Asia,Confucian,-2.8820104969575238,5.590272442428188,5.676169876836621,1,Hong Kong SAR,5.676169876836621,1,1
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",India,in,Asia,West & South Asia,-2.8820104969575238,5.590272442428188,6.3910481936987305,4,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Ireland,ie,Europe,English-Speaking,-2.8820104969575238,5.590272442428188,7.785938600091367,13,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Kenya,ke,Africa,African-Islamic,-2.8820104969575238,5.590272442428188,6.7704034248014375,8,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Malaysia,my,Asia,West & South Asia,-2.8820104969575238,5.590272442428188,6.313771556065989,3,Hong Kong SAR,5.676169876836621,0,1
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Nigeria,ng,Africa,African-Islamic,-2.8820104969575238,5.590272442428188,6.692982473019265,6,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Pakistan,pk,Asia,African-Islamic,-2.8820104969575238,5.590272442428188,6.693304484311228,7,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Philippines,ph,Asia,Latin America,-2.8820104969575238,5.590272442428188,7.268293913868924,10,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",Singapore,sg,Asia,West & South Asia,-2.8820104969575238,5.590272442428188,6.1510853119184645,2,Hong Kong SAR,5.676169876836621,0,1
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",South Africa,za,Africa,African-Islamic,-2.8820104969575238,5.590272442428188,6.586859417880517,5,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",United States,us,America,English-Speaking,-2.8820104969575238,5.590272442428188,7.445800947160428,12,Hong Kong SAR,5.676169876836621,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Bangladesh,bd,Asia,African-Islamic,-0.3422278621295507,-0.07099796394688376,1.1597361732881086,9,Malaysia,0.1313036222113504,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Canada,ca,America,English-Speaking,-0.20543377176391225,-1.011307206360441,2.5525581690081025,13,Philippines,0.14482360390658133,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Ghana,gh,Africa,African-Islamic,-0.40354500140245,0.25317311078307314,1.8285832723057966,11,Malaysia,0.4550281057577371,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Great Britain,gb,Europe,English-Speaking,-0.5556368426265081,0.5687603758272464,3.01099529842456,15,Malaysia,0.7922020858615151,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Hong Kong SAR,hk,Asia,Confucian,-0.21251367767383214,-0.8653236598836193,2.462030281019054,13,Kenya,0.21639660981976208,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",India,in,Asia,West & South Asia,-0.21605363062879213,-0.7923318866452085,0.5309032287121361,3,Kenya,0.14664002837307352,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Ireland,ie,Europe,English-Speaking,-0.21959358358375208,-0.7193401134067976,1.3232794303071471,11,Kenya,0.08282368958122466,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Kenya,ke,Africa,African-Islamic,-0.3351479562196308,-0.21698151042370545,0.4453456128866142,3,Malaysia,0.03452912662904177,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Malaysia,my,Asia,West & South Asia,-0.21959358358375208,-0.7193401134067976,0.5391667952680683,4,Kenya,0.08282368958122466,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Nigeria,ng,Africa,African-Islamic,-0.34222786212955064,-0.07099796394688376,1.0364076903321362,7,Malaysia,0.1313036222113504,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Pakistan,pk,Asia,African-Islamic,-0.5874964192211478,1.225686334972944,2.005817405357781,7,Singapore,1.242577980076358,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Philippines,ph,Asia,Latin America,-0.21959358358375208,-0.7193401134067976,0.4305470592375934,2,Kenya,0.08282368958122466,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Singapore,sg,Asia,West & South Asia,-0.21959358358375208,-0.7193401134067976,1.0812491892797642,9,Kenya,0.08282368958122466,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",South Africa,za,Africa,African-Islamic,-0.25259109921697165,-0.9791032245841274,0.9915774367582326,9,Philippines,0.19571415750046933,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",United States,us,America,English-Speaking,-0.3316080032646708,-0.2899732836621162,1.8426069506908451,12,India,0.025283526828265592,0,0
maple_3b_tminus_eminus,"MAPLE 3B (T-, I-)",Bangladesh,bd,Asia,African-Islamic,-0.030012621204203636,5.208044758305085,6.3727816410452895,13,Hong Kong SAR,3.9732596290743896,0,0
