country,#variant,a008,a165,e018,e025,f063,f118,f120,g006,y002,y003,country_code,continent,RC1,RC2,model,label,variant,train_metadata,eval_metadata
Bangladesh,variant 0,1,1,1,1,1,1,1,1,2,-1,bd,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 1,1,1,1,1,1,1,1,1,2,-1,bd,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 2,1,1,1,1,1,1,1,1,2,-1,bd,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 3,1,1,1,1,1,1,1,1,2,-1,bd,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 4,1,1,1,1,1,1,1,1,2,-1,bd,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 5,1,1,1,1,1,1,1,1,2,-1,bd,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 6,1,1,1,1,1,1,1,1,2,-1,bd,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 7,1,1,1,1,1,1,1,1,2,-1,bd,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 8,1,1,1,1,1,1,1,1,2,-1,bd,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Bangladesh,variant 9,1,1,1,1,1,1,1,1,2,-1,bd,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Canada,variant 0,1,1,1,1,1,1,1,1,2,-1,ca,America,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Canada,variant 1,1,1,1,1,1,1,1,1,2,-1,ca,America,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Canada,variant 2,1,1,1,1,1,1,1,1,2,-1,ca,America,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Canada,variant 3,1,1,1,1,1,1,1,1,2,-1,ca,America,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Canada,variant 4,1,1,1,1,1,1,1,1,2,-1,ca,America,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Canada,variant 5,1,1,1,1,1,1,1,1,2,-1,ca,America,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Canada,variant 6,1,1,1,1,1,1,1,1,2,-1,ca,America,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Canada,variant 7,1,1,1,1,1,1,1,1,2,-1,ca,America,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Canada,variant 8,1,1,1,1,1,1,1,1,2,-1,ca,America,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Canada,variant 9,1,1,1,1,1,1,1,1,2,-1,ca,America,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Ghana,variant 0,4,1,1,1,1,1,1,1,2,-1,gh,Africa,0.1209231911098346,0.835050963851985,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Ghana,variant 1,1,1,1,1,1,1,1,1,2,-1,gh,Africa,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Ghana,variant 2,1,1,1,1,1,1,1,1,2,-1,gh,Africa,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Ghana,variant 3,4,1,1,1,1,1,1,1,2,-1,gh,Africa,0.1209231911098346,0.835050963851985,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Ghana,variant 4,1,1,1,1,1,1,1,1,2,-1,gh,Africa,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Ghana,variant 5,1,1,1,1,1,1,1,1,2,-1,gh,Africa,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Ghana,variant 6,4,1,1,1,1,1,1,1,2,-1,gh,Africa,0.1209231911098346,0.835050963851985,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Ghana,variant 7,4,1,1,1,1,1,1,1,2,-1,gh,Africa,0.1209231911098346,0.835050963851985,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Ghana,variant 8,4,1,1,1,1,1,1,1,2,-1,gh,Africa,0.1209231911098346,0.835050963851985,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Ghana,variant 9,1,1,1,1,1,1,1,1,2,-1,gh,Africa,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Great Britain,variant 0,1,1,1,1,1,1,1,1,2,-1,gb,Europe,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Great Britain,variant 1,1,1,1,1,1,1,1,1,2,-1,gb,Europe,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Great Britain,variant 2,1,1,1,1,1,1,1,1,2,-1,gb,Europe,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Great Britain,variant 3,1,1,1,1,1,1,1,1,2,-1,gb,Europe,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Great Britain,variant 4,1,1,1,1,1,1,1,1,2,-1,gb,Europe,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Great Britain,variant 5,1,1,1,1,1,1,1,1,2,-1,gb,Europe,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Great Britain,variant 6,1,1,1,1,1,1,1,1,2,-1,gb,Europe,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Great Britain,variant 7,1,1,1,1,1,1,1,1,2,-1,gb,Europe,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Great Britain,variant 8,1,1,1,1,1,1,1,1,2,-1,gb,Europe,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Great Britain,variant 9,1,1,1,1,1,1,1,1,2,-1,gb,Europe,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Hong Kong SAR,variant 0,1,1,1,1,1,1,1,1,2,-1,hk,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Hong Kong SAR,variant 1,1,1,1,1,1,1,1,1,2,-1,hk,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Hong Kong SAR,variant 2,1,1,1,1,1,1,1,1,2,-1,hk,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Hong Kong SAR,variant 3,4,1,1,1,1,1,1,1,2,-1,hk,Asia,0.1209231911098346,0.835050963851985,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Hong Kong SAR,variant 4,1,1,1,1,1,1,1,1,2,-1,hk,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Hong Kong SAR,variant 5,4,1,1,1,1,1,1,1,2,-1,hk,Asia,0.1209231911098346,0.835050963851985,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Hong Kong SAR,variant 6,4,1,1,1,1,1,1,1,2,-1,hk,Asia,0.1209231911098346,0.835050963851985,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Hong Kong SAR,variant 7,4,1,1,1,1,1,1,1,2,-1,hk,Asia,0.1209231911098346,0.835050963851985,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Hong Kong SAR,variant 8,4,1,1,1,1,1,1,1,2,-1,hk,Asia,0.1209231911098346,0.835050963851985,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
Hong Kong SAR,variant 9,1,1,1,1,1,1,1,1,2,-1,hk,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
India,variant 0,1,1,1,1,1,1,1,1,2,-1,in,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
India,variant 1,1,1,1,1,1,1,1,1,2,-1,in,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
India,variant 2,1,1,1,1,1,1,1,1,2,-1,in,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
India,variant 3,1,1,1,1,1,1,1,1,2,-1,in,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
India,variant 4,1,1,1,1,1,1,1,1,2,-1,in,Asia,1.9289044601940355,-2.49183484939444,/path/to/metacul/models/combined_with_metadata_3b,"MAPLE 3B (T+, I+)",maple_3b_tplus_eplus,True,True
