variant,label,country,country_code,continent,category,RC1,RC2,target_distance,target_rank,nearest_country,nearest_distance,top1_hit,top3_hit
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Bangladesh,bd,Asia,African-Islamic,-1.9118204057286396,2.603564287811537,3.861969393176636,9,Hong Kong SAR,3.0649885184079624,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Canada,ca,America,English-Speaking,-1.8962659571216784,2.6082639732602253,5.098337244175776,14,Hong Kong SAR,3.052771255817344,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Ghana,gh,Africa,African-Islamic,-1.9118204057286396,2.603564287811537,4.142095819908231,10,Hong Kong SAR,3.0649885184079624,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Great Britain,gb,Europe,English-Speaking,-1.8466569084334008,2.606557653819615,5.057311179180785,15,Hong Kong SAR,3.0069932965589428,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Hong Kong SAR,hk,Asia,Confucian,-1.9283567552913987,2.6041330609584064,3.0802965249845875,1,Hong Kong SAR,3.0802965249845875,1,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",India,in,Asia,West & South Asia,-1.8797296075589192,2.6076952001133558,3.265503765338505,4,Hong Kong SAR,3.037498462006804,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Ireland,ie,Europe,English-Speaking,-1.9118204057286396,2.603564287811537,4.763254572857712,13,Hong Kong SAR,3.0649885184079624,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Kenya,ke,Africa,African-Islamic,-1.8622113570403624,2.6018579683709264,3.625759874875551,8,Hong Kong SAR,3.0191428781545304,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Malaysia,my,Asia,West & South Asia,-1.8155480112194788,2.6159570247169928,3.167662558571053,3,Hong Kong SAR,2.9828112221053336,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Nigeria,ng,Africa,African-Islamic,-1.753330216791634,2.634755766511748,3.550917532768739,7,Hong Kong SAR,2.934928901865682,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Pakistan,pk,Asia,African-Islamic,-1.9283567552913987,2.6041330609584064,3.558769030797217,5,Hong Kong SAR,3.0802965249845875,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Philippines,ph,Asia,Latin America,-1.945875005809956,2.609970292700836,4.162569236189462,11,Hong Kong SAR,3.098668090263035,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Singapore,sg,Asia,West & South Asia,-1.878747706603121,2.602426741517797,3.1289085679013704,2,Hong Kong SAR,3.034411497541522,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",South Africa,za,Africa,African-Islamic,-1.6979495796947013,2.269738160193154,3.1624009866281813,5,Hong Kong SAR,2.7410891390178724,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",United States,us,America,English-Speaking,-1.7310222788202192,2.270875706486894,4.2127143761825225,12,Hong Kong SAR,2.7726080300268703,0,0
