variant,label,country,country_code,continent,category,RC1,RC2,target_distance,target_rank,nearest_country,nearest_distance,top1_hit,top3_hit
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Bangladesh,bd,Asia,African-Islamic,-2.011038503105194,2.606976926692757,3.8935422957411223,9,Hong Kong SAR,3.1570239517498444,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Canada,ca,America,English-Speaking,-1.8622113570403624,2.6018579683709264,5.066891415743906,14,Hong Kong SAR,3.0191428781545304,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Ghana,gh,Africa,African-Islamic,-1.9614294544169169,2.6052706072521468,4.154177380502689,10,Hong Kong SAR,3.110950571081069,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Great Britain,gb,Europe,English-Speaking,-1.9614294544169169,2.6052706072521468,5.152298123306428,15,Hong Kong SAR,3.110950571081069,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Hong Kong SAR,hk,Asia,Confucian,-1.8622113570403624,2.6018579683709264,3.0191428781545304,1,Hong Kong SAR,3.0191428781545304,1,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",India,in,Asia,West & South Asia,-2.128844522672856,3.577215058295148,4.245518638898225,4,Hong Kong SAR,3.7497698077933057,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Ireland,ie,Europe,English-Speaking,-1.9128023066844373,2.6088327464070957,4.768001486496097,13,Hong Kong SAR,3.068057255449287,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Kenya,ke,Africa,African-Islamic,-2.027574852667953,2.607545699839627,3.706120810701693,8,Hong Kong SAR,3.1724056468394366,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Malaysia,my,Asia,West & South Asia,-1.973137545001539,2.927735362541493,3.51699614865208,3,Hong Kong SAR,3.265625565899325,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Nigeria,ng,Africa,African-Islamic,-1.8165299121752767,2.6212254833125512,3.5510552505626363,7,Hong Kong SAR,2.985954623364204,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Pakistan,pk,Asia,African-Islamic,-2.194989920923892,3.579490150882628,4.568624212787211,6,Hong Kong SAR,3.80440373038738,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Philippines,ph,Asia,Latin America,-1.977965803979676,2.605839380399017,4.172828182241169,11,Hong Kong SAR,3.1262962376792838,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",Singapore,sg,Asia,West & South Asia,-1.8631932579961603,2.6071264269664853,3.122058288820922,2,Hong Kong SAR,3.0222390742233327,0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",South Africa,za,Africa,African-Islamic,-1.9448931048541576,2.604701834105277,3.577984187140455,7,Hong Kong SAR,3.0956172719525785,0,0
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",United States,us,America,English-Speaking,-2.011038503105194,2.6069769266927567,4.64364631148195,12,Hong Kong SAR,3.1570239517498444,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Bangladesh,bd,Asia,African-Islamic,-2.640746245396946,5.849256447139196,7.185685603914606,9,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Canada,ca,America,English-Speaking,-2.640746245396946,5.849256447139196,7.898587934913253,15,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Ghana,gh,Africa,African-Islamic,-2.640746245396946,5.849256447139196,7.468418732581349,11,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Great Britain,gb,Europe,English-Speaking,-2.520697058439169,5.798629195650652,7.737911927765288,13,Hong Kong SAR,5.607548859379175,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Hong Kong SAR,hk,Asia,Confucian,-2.640746245396946,5.849256447139196,5.7209862376650245,1,Hong Kong SAR,5.7209862376650245,1,1
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",India,in,Asia,West & South Asia,-2.640746245396946,5.849256447139196,6.541549528911664,4,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Ireland,ie,Europe,English-Speaking,-2.640746245396946,5.849256447139196,7.895625585316607,14,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Kenya,ke,Africa,African-Islamic,-2.640746245396946,5.849256447139196,6.924056238007739,8,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Malaysia,my,Asia,West & South Asia,-2.640746245396946,5.849256447139196,6.463276108561426,3,Hong Kong SAR,5.7209862376650245,0,1
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Nigeria,ng,Africa,African-Islamic,-2.640746245396946,5.849256447139196,6.881982125689579,7,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Pakistan,pk,Asia,African-Islamic,-2.640746245396946,5.849256447139196,6.87114839960815,6,Hong Kong SAR,5.7209862376650245,0,0
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",Philippines,ph,Asia,Latin America,-2.640746245396946,5.849256447139196,7.424382081963877,10,Hong Kong SAR,5.7209862376650245,0,0
