country,#variant,a008,a165,e018,e025,f063,f118,f120,g006,y002,y003,country_code,continent
India,variant 0,1,1,1,1,1,1,1,1,2,-1,in,Asia
India,variant 1,1,1,1,1,1,1,1,1,2,-1,in,Asia
India,variant 2,1,1,1,1,1,1,1,1,2,-1,in,Asia
India,variant 3,1,1,1,1,1,1,1,1,2,-1,in,Asia
India,variant 4,1,1,1,1,1,1,1,1,2,-1,in,Asia
India,variant 5,1,1,1,1,1,1,1,1,2,-1,in,Asia
India,variant 6,1,1,1,1,1,1,1,1,2,-1,in,Asia
India,variant 7,1,1,1,1,1,1,1,1,2,-1,in,Asia
India,variant 8,1,1,1,1,1,1,1,1,2,-1,in,Asia
India,variant 9,1,1,1,1,1,1,1,1,2,-1,in,Asia
