,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
bd,1190,1342,1758,4634,3287,4233,21785,11893,29068,34331,13647,14644,16957,13796,8523,181088
ca,44971,73750,105619,101452,106435,115659,257002,313920,264691,207008,200023,169085,206269,149198,166625,2481707
gb,92681,90640,95947,94662,96765,113229,269555,297745,249228,301489,388980,303578,687198,583021,611536,4276254
gh,1856,1984,2990,4806,6758,9706,78049,77302,64128,53960,27816,20560,8308,288,20616,379127
hk,391,718,915,1456,2014,4815,16595,18687,11348,13381,12720,5949,11120,11592,12226,123927
ie,7915,14174,18505,40601,62903,81426,261162,282372,245531,229556,174311,156244,143634,130416,155097,2003847
in,51530,68272,71266,65757,60384,71129,386286,373966,383220,369796,290130,284292,583806,493988,646745,4200567
jm,4580,4862,4967,5045,5234,6197,15999,20079,6268,6925,5276,7242,12235,7158,6176,118243
ke,85,534,5079,9264,7918,11198,77887,81155,95901,94445,52993,39744,43347,33367,37127,590044
lk,1035,2144,1444,1315,2334,7514,23937,22773,21144,21302,25981,25812,24910,15885,21367,218897
my,928,1618,4994,8774,13577,12718,121405,231259,109325,89934,56300,43025,46972,32168,42898,815895
ng,1832,5105,7354,11153,12258,9992,198874,246215,250499,254101,137586,118233,198466,190935,181869,1824472
nz,7907,12910,19050,19038,18255,24228,159681,190812,146684,106330,72496,57822,79322,66519,50419,1031473
ph,976,5663,11610,19532,27939,43974,130353,143249,110778,126132,60682,61288,49310,45846,70623,907955
pk,3029,6059,12218,11149,12462,13893,158494,130982,118182,115912,60156,48661,67306,80445,101010,939958
sg,622,2725,4614,8778,15090,48285,136917,190940,223168,167526,48772,37764,44866,32279,33201,995547
tz,49,825,1472,2481,2202,4447,5110,1789,6755,11040,7673,7243,4325,9,5442,60862
us,102170,102403,98549,90115,89289,110054,281714,321289,275996,764496,1768585,1656344,1326734,847904,898283,8733925
za,6633,19584,31407,43983,52773,76721,178079,200091,184021,183614,140319,106611,103779,69376,95188,1492179
Total,330380,415312,499758,543995,597877,769418,2778884,3156518,2795935,3151278,3544446,3164141,3658864,2804190,3164971,31375967
