,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Mean
bd,743.17,741.77,782.35,648.71,638.53,676.08,415.81,440.84,530.86,606.56,785.93,644.87,559.95,543.46,579.71,622.57
ca,826.21,782.13,793.47,813.99,782.17,714.04,663.31,712.3,708.82,790.43,845.93,784.79,767.15,743.76,674.66,760.21
gb,791.64,788.14,764.64,743.89,764.77,752.53,637.98,626.65,648.89,758.14,803.33,668.86,656.6,647.8,690.52,716.29
gh,1004.01,938.6,713.77,653.97,619.71,505.11,400.73,410.65,475.32,497.71,602.64,506.87,469.72,639.35,487.91,595.07
hk,894.43,1004.88,897.58,744.88,794.36,671.04,503.37,476.21,538.0,783.97,698.05,610.39,535.23,516.52,588.28,683.81
ie,678.0,647.34,629.87,627.52,628.92,587.26,532.48,557.61,552.04,624.23,674.6,558.84,626.1,608.66,596.78,608.68
in,562.09,623.18,656.73,655.3,587.13,555.66,562.49,538.81,568.59,612.89,702.75,568.27,573.59,590.05,585.78,596.22
jm,745.54,758.05,761.06,745.35,705.83,620.98,506.69,485.86,436.98,532.98,558.37,519.29,681.18,706.57,543.53,620.55
ke,651.76,748.72,558.1,521.99,492.27,471.6,439.33,450.8,466.05,496.14,586.31,490.05,485.88,487.34,522.76,524.61
lk,801.27,866.81,879.31,588.74,764.66,519.46,546.26,618.55,624.06,752.1,792.02,798.01,758.98,703.54,711.47,715.02
my,761.43,666.16,727.35,682.05,652.76,597.04,455.05,458.58,456.78,523.18,673.75,506.66,620.74,765.72,506.08,603.56
ng,995.03,960.72,1001.24,890.75,904.21,810.93,517.54,526.8,543.81,566.53,659.64,553.17,626.41,608.87,599.96,717.71
nz,526.84,552.14,593.1,588.51,574.19,559.0,527.81,559.81,622.49,731.9,888.16,731.29,795.78,773.61,750.19,651.65
ph,665.55,677.98,658.58,620.76,599.01,571.58,520.27,509.71,511.66,546.08,654.97,547.72,603.72,624.76,585.91,593.22
pk,799.38,836.81,676.94,692.24,725.28,670.69,421.58,455.08,540.51,543.11,578.77,467.35,489.91,501.17,471.66,591.37
sg,631.8,538.08,472.82,444.97,483.76,497.33,488.76,508.35,526.82,580.15,723.16,679.23,649.88,621.66,660.09,567.12
tz,750.63,683.28,641.2,619.21,593.9,519.59,441.85,365.6,558.99,603.42,758.83,634.56,676.45,1010.33,607.81,631.04
us,945.68,973.62,1039.92,1072.81,1050.73,940.96,667.45,691.74,761.52,639.27,710.18,785.32,878.71,888.0,839.78,859.05
za,784.25,670.9,704.13,702.41,635.78,632.65,513.51,515.1,530.31,593.4,676.41,589.69,532.22,530.71,584.16,613.04
Mean,766.25,761.02,734.32,687.27,684.1,624.92,513.8,521.53,558.03,620.12,703.88,612.91,630.96,658.52,609.84,645.83
