model_path,test_set_path,mean_ppl,ci_low,ci_high,skipped_samples,ci_level,ci_method,split,max_samples,seed,bootstrap_iters
/path/to/metacul/models/combined_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.187433,8.867019,9.485682,3,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/combined_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,10.256629,9.921329,10.584627,2,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/combined_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.914394,9.568993,10.227172,0,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/combined_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,9.963458,9.611505,10.28549,0,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablations/metadata/combined_only_url_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined_only_url/with_metadata/,9.130207,8.827597,9.445715,1,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablations/metadata/combined_only_url_continent_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined_only_url_continent/with_metadata/,9.22721,8.905625,9.538217,5,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablations/metadata/combined_only_url_country_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,9.183427,8.858568,9.504419,1,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined_only_url/with_metadata/,12.122378,11.704621,12.504132,10,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined_only_url/with_metadata/,10.472323,10.115131,10.821082,11,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_with_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined_only_url/with_metadata/,9.329302,9.028893,9.637441,4,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_continent_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined_only_url_continent/with_metadata/,12.133584,11.70803,12.532393,12,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_continent_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined_only_url_continent/with_metadata/,10.495686,10.140594,10.854725,14,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_continent_with_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined_only_url_continent/with_metadata/,9.383417,9.081316,9.683885,8,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_country_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,12.210237,11.775213,12.61392,12,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_country_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,10.549702,10.18613,10.918842,13,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_country_with_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,9.402735,9.107634,9.720035,5,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablations/metadata/combined_only_url_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined_only_url_continent/with_metadata/,9.145363,8.844327,9.460208,1,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablations/metadata/combined_only_url_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,9.148766,8.847026,9.464863,1,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablations/metadata/combined_only_url_continent_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined_only_url/with_metadata/,9.26312,8.938034,9.572224,5,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablations/metadata/combined_only_url_continent_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,9.251681,8.928067,9.561631,5,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablations/metadata/combined_only_url_country_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined_only_url/with_metadata/,9.226472,8.899945,9.547646,1,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablations/metadata/combined_only_url_country_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined_only_url_continent/with_metadata/,9.201725,8.874795,9.520522,1,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined_only_url_continent/with_metadata/,12.142501,11.724288,12.526849,10,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,12.149326,11.731352,12.532268,10,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined_only_url_continent/with_metadata/,10.486379,10.128502,10.837337,11,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,10.491516,10.134299,10.842852,11,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_with_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined_only_url_continent/with_metadata/,9.342853,9.043744,9.649011,4,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_url_with_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,9.34526,9.045173,9.651703,4,0.95,bootstrap,test,1000,42,1000
