plot,meta,region,test_path,model_a,model_b,n_samples,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot3,with_metadata,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/combined_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_500m,997,2.071430002691217,2.232329528194524,7.936163742865032,9.321555633125849,-0.16089952550330722,-0.16487941588576088,-0.15677480834180105,-1.3853918902608164,-1.446416136445997,-1.3273831579805395,0.0,ok
plot3,with_metadata,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/combined_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_500m,997,2.276185063093476,2.4432114104441136,9.739454043877984,11.509944610679085,-0.16702634735063748,-0.170797244741936,-0.16336452852580013,-1.7704905668011008,-1.8420883156668653,-1.7001064009980156,0.0,ok
plot3,with_metadata,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/combined_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_500m,995,2.1723671023426583,2.3300679802903015,8.779040351875928,10.278640254241932,-0.1577008779476432,-0.16116833864866953,-0.15413395392684492,-1.499599902366004,-1.5661492534764985,-1.4341944428215838,0.0,ok
plot3,with_metadata,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/combined_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_500m,1000,2.1941034766906533,2.3587863402214113,8.971953884331825,10.578105437561575,-0.164682863530758,-0.16844510406695723,-0.16074423234907378,-1.6061515532297506,-1.6821777327254153,-1.5335824461412564,0.0,ok
plot3,with_metadata,combined,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/combined_with_metadata_1b,/path/to/metacul/models/combined_with_metadata_500m,997,2.2178365474126656,2.381482393616434,9.187432774148165,10.820931860668866,-0.16364584620376865,-0.1668555977274878,-0.16006062730436796,-1.6334990865207004,-1.7068409540212879,-1.5648228331364678,0.0,ok
plot3,without_metadata,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/combined_without_metadata_1b,/path/to/metacul/models/combined_without_metadata_500m,1000,2.1656040453462366,2.3224394488285527,8.719867521755383,10.200527644737965,-0.15683540348231606,-0.1609377868491852,-0.15274899915557102,-1.4806601229825826,-1.5515524989611305,-1.4109728309253091,0.0,ok
plot3,without_metadata,america,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/combined_without_metadata_1b,/path/to/metacul/models/combined_without_metadata_500m,1000,2.34675940816087,2.5090285030283495,10.451645270391879,12.292981663075963,-0.16226909486747942,-0.16633425670050384,-0.15857237933451726,-1.8413363926840844,-1.9154010039198532,-1.7713193537522893,0.0,ok
plot3,without_metadata,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/combined_without_metadata_1b,/path/to/metacul/models/combined_without_metadata_500m,1000,2.2574250533200746,2.41110126917871,9.55844496549974,11.14622938738999,-0.15367621585863533,-0.15733664823686783,-0.1500198061634124,-1.58778442189025,-1.6590971994403252,-1.5171344425504596,0.0,ok
plot3,without_metadata,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/combined_without_metadata_1b,/path/to/metacul/models/combined_without_metadata_500m,1000,2.2694714506426212,2.428536048109571,9.674286124794689,11.342265389092988,-0.15906459746694956,-0.16290421090159285,-0.15521726677782963,-1.6679792642982996,-1.7458334869210819,-1.5914479920452098,0.0,ok
plot3,without_metadata,combined,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,/path/to/metacul/models/combined_without_metadata_1b,/path/to/metacul/models/combined_without_metadata_500m,1000,2.298924209779093,2.45605895912797,9.963458096482498,11.658773178422887,-0.15713474934887683,-0.16072628690242244,-0.15371563678955497,-1.6953150819403895,-1.7731139062014876,-1.6237138232488246,0.0,ok
