plot,size,train_continent,test_continent,test_path_a,test_path_b,model_a,model_b,n_samples_a,n_samples_b,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot5,500m,africa,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,1000,2.2545912398812953,2.2545912398812953,9.531396459014344,9.531396459014344,0.0,-0.06216466011793905,0.06031754736310824,0.0,-0.5896475214167254,0.5754278896666836,0.994,ok
plot5,500m,africa,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,3.071955318187744,2.770567415958473,21.58406515620142,15.96769176292043,0.30138790222927136,0.26290434150506065,0.3408534890653134,5.616373393280989,4.879503948323056,6.365804716161477,0.0,ok
plot5,500m,africa,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,1000,2.994049026269087,2.739908689063472,19.966363371625558,15.485571029787645,0.254140337205615,0.21255124149263144,0.29465388676027626,4.480792341837914,3.7412388248972945,5.208661553135855,0.0,ok
plot5,500m,africa,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,1000,3.0814363046589,2.82255990397039,21.78967654515541,16.819852815982365,0.2588764006885098,0.21451108097210347,0.3020054054854823,4.969823729173044,4.126163293905514,5.817594430037539,0.0,ok
plot5,500m,america,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,1000,2.770567415958473,3.071955318187744,15.96769176292043,21.58406515620142,-0.30138790222927136,-0.34173961220787374,-0.2636659746920007,-5.616373393280989,-6.361417459519225,-4.892979440645664,0.0,ok
plot5,500m,america,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,2.2866753623556413,2.2866753623556413,9.84216160609925,9.84216160609925,0.0,-0.04759604859738857,0.04455376348336913,0.0,-0.4687274608587955,0.4402623978015149,0.976,ok
plot5,500m,america,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,1000,2.649806259859481,2.782569370961825,14.151296705560213,16.160489944188022,-0.13276311110234396,-0.17440880429620442,-0.0949889134387469,-2.009193238627809,-2.6402833741349836,-1.4423646996803101,0.0,ok
plot5,500m,america,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,1000,2.7421718910972914,2.7735203337567955,15.520657694766486,16.014912729629003,-0.031348442659504094,-0.0665718661398133,0.0031259311529715445,-0.4942550348625172,-1.0544761928116562,0.04839214910997218,0.081,ok
plot5,500m,asia,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,1000,2.739908689063472,2.994049026269087,15.485571029787645,19.966363371625558,-0.254140337205615,-0.29536746700482197,-0.2136727451041173,-4.480792341837914,-5.231043233157885,-3.757893677973196,0.0,ok
plot5,500m,asia,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,2.782569370961825,2.649806259859481,16.160489944188022,14.151296705560213,0.13276311110234396,0.09368395258655755,0.17409863332909295,2.009193238627809,1.4208675137551028,2.634151672604979,0.0,ok
