size,variant,continent,country,accuracy,accuracy_std,seed_count,mean_total_per_seed
1B,"(T+, I+)",Africa,Ghana,0.40290909090909094,0.004331319727116928,5,1100.0
1B,"(T-, I-)",Africa,Ghana,0.3509090909090909,0.00970643477457392,5,1100.0
1B,"(T+, I+)",Africa,Kenya,0.37018181818181817,0.0025226248955475604,5,1100.0
1B,"(T-, I-)",Africa,Kenya,0.34199999999999997,0.0070827458839208945,5,1100.0
1B,"(T+, I+)",Africa,Nigeria,0.37436363636363634,0.004870216449446873,5,1100.0
1B,"(T-, I-)",Africa,Nigeria,0.3761818181818181,0.0035442888526578007,5,1100.0
1B,"(T+, I+)",Africa,South Africa,0.34854545454545455,0.005552156903491816,5,1100.0
1B,"(T-, I-)",Africa,South Africa,0.32036363636363635,0.006511274392534537,5,1100.0
1B,"(T+, I+)",Africa,Tanzania,0.44781818181818184,0.009887800313584537,5,1100.0
1B,"(T-, I-)",Africa,Tanzania,0.4363636363636364,0.006982859770789644,5,1100.0
1B,"(T+, I+)",America,Canada,0.3113739763421292,0.0046575009616268296,5,1099.0
1B,"(T-, I-)",America,Canada,0.27934485896269334,0.006171364861806422,5,1099.0
1B,"(T+, I+)",America,Jamaica,0.3590951932139491,0.00333226569833433,5,1061.0
1B,"(T-, I-)",America,Jamaica,0.3332704995287465,0.00839307704463457,5,1061.0
1B,"(T+, I+)",America,United States,0.29363636363636364,0.00421528113431622,5,1100.0
1B,"(T-, I-)",America,United States,0.27599999999999997,0.001885131032120714,5,1100.0
1B,"(T+, I+)",Asia,Bangladesh,0.3730909090909091,0.003670296225124795,5,1100.0
1B,"(T-, I-)",Asia,Bangladesh,0.3625454545454546,0.00714084977696563,5,1100.0
1B,"(T+, I+)",Asia,Hong Kong,0.33781818181818185,0.005401254828186526,5,1100.0
1B,"(T-, I-)",Asia,Hong Kong,0.34272727272727277,0.006833316535624049,5,1100.0
1B,"(T+, I+)",Asia,India,0.35000000000000003,0.007385489458759949,5,1100.0
1B,"(T-, I-)",Asia,India,0.33127272727272733,0.005246013835001287,5,1100.0
1B,"(T+, I+)",Asia,Malaysia,0.39490909090909093,0.004292988710224579,5,1100.0
1B,"(T-, I-)",Asia,Malaysia,0.4089090909090909,0.0047846172243421,5,1100.0
1B,"(T+, I+)",Asia,Pakistan,0.30927272727272725,0.0075896841689970075,5,1100.0
1B,"(T-, I-)",Asia,Pakistan,0.3072727272727273,0.007846671137105493,5,1100.0
1B,"(T+, I+)",Asia,Philippines,0.3618181818181818,0.003340213285613446,5,1100.0
1B,"(T-, I-)",Asia,Philippines,0.34254545454545454,0.006009634138559416,5,1100.0
1B,"(T+, I+)",Asia,Sri Lanka,0.34090909090909094,0.0038569460791993485,5,1100.0
1B,"(T-, I-)",Asia,Sri Lanka,0.32781818181818184,0.004962670568711335,5,1100.0
1B,"(T+, I+)",Europe,Ireland,0.35654545454545455,0.006965084112501076,5,1100.0
1B,"(T-, I-)",Europe,Ireland,0.3841818181818182,0.005982066864131663,5,1100.0
1B,"(T+, I+)",Europe,United Kingdom,0.29654545454545456,0.006009634138559415,5,1100.0
1B,"(T-, I-)",Europe,United Kingdom,0.28545454545454546,0.007524066071475844,5,1100.0
3B,"(T+, I+)",Africa,Ghana,0.42800000000000005,0.00821709566434666,5,1100.0
3B,"(T-, I-)",Africa,Ghana,0.43,0.009226265059174742,5,1100.0
3B,"(T+, I+)",Africa,Kenya,0.42654545454545456,0.004912456758584112,5,1100.0
3B,"(T-, I-)",Africa,Kenya,0.4194545454545454,0.010515631811579081,5,1100.0
3B,"(T+, I+)",Africa,Nigeria,0.4832727272727272,0.002696799449852965,5,1100.0
3B,"(T-, I-)",Africa,Nigeria,0.4083636363636364,0.006661843985658639,5,1100.0
3B,"(T+, I+)",Africa,South Africa,0.4318181818181818,0.006363636363636351,5,1100.0
3B,"(T-, I-)",Africa,South Africa,0.38418181818181824,0.0030559520570857413,5,1100.0
3B,"(T+, I+)",Africa,Tanzania,0.4623636363636363,0.0061186613347141375,5,1100.0
3B,"(T-, I-)",Africa,Tanzania,0.4158181818181818,0.010216661161517315,5,1100.0
3B,"(T+, I+)",America,Canada,0.3867151956323931,0.006069910857200339,5,1099.0
3B,"(T-, I-)",America,Canada,0.38252957233848955,0.00448544405600226,5,1099.0
3B,"(T+, I+)",America,Jamaica,0.36833176248821864,0.0109590513506116,5,1061.0
3B,"(T-, I-)",America,Jamaica,0.36022620169651265,0.009363607319147814,5,1061.0
3B,"(T+, I+)",America,United States,0.40636363636363637,0.006064392756421054,5,1100.0
3B,"(T-, I-)",America,United States,0.39,0.009577867048047936,5,1100.0
3B,"(T+, I+)",Asia,Bangladesh,0.45690909090909093,0.007402255631208106,5,1100.0
3B,"(T-, I-)",Asia,Bangladesh,0.37672727272727274,0.004706246947470832,5,1100.0
3B,"(T+, I+)",Asia,Hong Kong,0.3867272727272727,0.0091498091927899,5,1100.0
3B,"(T-, I-)",Asia,Hong Kong,0.34400000000000003,0.010535261531504107,5,1100.0
3B,"(T+, I+)",Asia,India,0.42654545454545456,0.003239732669310076,5,1100.0
3B,"(T-, I-)",Asia,India,0.4243636363636364,0.00826723094137429,5,1100.0
3B,"(T+, I+)",Asia,Malaysia,0.4079999999999999,0.008561879765797172,5,1100.0
3B,"(T-, I-)",Asia,Malaysia,0.4016363636363637,0.004425695070777495,5,1100.0
3B,"(T+, I+)",Asia,Pakistan,0.39436363636363636,0.0047846172243420975,5,1100.0
3B,"(T-, I-)",Asia,Pakistan,0.35545454545454547,0.006460304728887244,5,1100.0
3B,"(T+, I+)",Asia,Philippines,0.34909090909090906,0.01309532753717085,5,1100.0
3B,"(T-, I-)",Asia,Philippines,0.34800000000000003,0.004136113878573571,5,1100.0
3B,"(T+, I+)",Asia,Sri Lanka,0.35363636363636364,0.002650432679475154,5,1100.0
3B,"(T-, I-)",Asia,Sri Lanka,0.3563636363636364,0.001437398936440164,5,1100.0
3B,"(T+, I+)",Europe,Ireland,0.3665454545454545,0.004653266869843539,5,1100.0
3B,"(T-, I-)",Europe,Ireland,0.36763636363636365,0.010710310163653178,5,1100.0
3B,"(T+, I+)",Europe,United Kingdom,0.3650909090909091,0.006383087156924345,5,1100.0
3B,"(T-, I-)",Europe,United Kingdom,0.37654545454545457,0.01017207325869045,5,1100.0
