family,seed,variant,variant_label,country,contrast_country,topic,exact_pair,margin_switch,target_margin,contrast_margin
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Tanzania,United Kingdom,Politics and government,0.0,0.0,-0.6331426307114185,1.2289192724529556
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",United States,United Kingdom,Economy and business,0.0,0.0,-1.524698996933492,1.767766952966368
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",United Kingdom,United States,Economy and business,0.0,0.0,-1.1408001218986712,0.8368393158870902
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Jamaica,United States,Politics and government,0.0,0.0,5.512508398175945,-4.929779002387248
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Malaysia,United Kingdom,Politics and government,0.0,0.0,4.254049520105687,-3.7612167207410487
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Hong Kong,United Kingdom,Public life and holidays,0.0,0.0,0.7530741228591076,-0.1790775979962973
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Canada,United States,Media and culture,0.0,0.0,3.4963658630211363,-3.35253884067032
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",South Africa,United Kingdom,Economy and business,0.0,0.0,0.9091960996052633,-0.395987732900311
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Philippines,United States,Public life and holidays,0.0,0.0,-0.8969006535810848,0.46088655908640597
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Hong Kong,United Kingdom,Economy and business,0.0,0.0,1.4128194780084309,-1.5077989387148794
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",India,United Kingdom,Economy and business,0.0,0.0,-3.0226776406546154,4.086929838207295
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",South Africa,United Kingdom,Economy and business,0.0,0.0,1.7571200230693087,-0.2849383821193481
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",South Africa,United Kingdom,Economy and business,0.0,0.0,-0.16621405623628593,0.937922174476185
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Kenya,United Kingdom,Economy and business,1.0,1.0,0.023744865176611896,1.1872432588306125
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Tanzania,United Kingdom,Public life and holidays,0.0,0.0,-5.281880608312394,4.703764322825466
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Kenya,United Kingdom,Education,0.0,0.0,-0.6043942984636068,0.6569503244169645
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",United Kingdom,United States,Politics and government,0.0,0.0,-0.783580550828205,1.4959265061265725
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Ghana,United Kingdom,Public life and holidays,0.0,0.0,2.5,-2.1875
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",United Kingdom,United States,Media and culture,0.0,0.0,2.5743106252572723,-2.242854321576079
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Pakistan,India,Media and culture,0.0,1.0,0.35475317518516114,0.21022410381342738
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Nigeria,United Kingdom,Media and culture,0.0,0.0,3.8555303471038407,-2.7923841668844034
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Pakistan,India,Economy and business,0.0,0.0,-5.363996527258834,5.308907353505408
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Bangladesh,India,Geography and infrastructure,0.0,0.0,0.9722864801371056,-0.23650211679010802
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Ghana,United Kingdom,Geography and infrastructure,0.0,0.0,3.1599259123462478,-1.5853635360225677
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",South Africa,United Kingdom,Civic institutions,0.0,0.0,-0.6569503244169645,0.9722864801371074
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Malaysia,United Kingdom,Media and culture,0.0,0.0,-4.559235251453735,3.232195596131465
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",United Kingdom,United States,Public life and holidays,0.0,0.0,-1.3795956812756245,1.1036765450205017
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Kenya,United Kingdom,Media and culture,0.0,0.0,0.3917902754141025,-0.8904324441229585
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Ireland,United Kingdom,Geography and infrastructure,0.0,0.0,-2.0698784567936954,1.9714193133111646
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Nigeria,United Kingdom,Public life and holidays,0.0,0.0,-0.9723890721763402,1.717124187944279
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",South Africa,United Kingdom,Geography and infrastructure,0.0,0.0,-0.1875,0.734375
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Jamaica,United States,Public life and holidays,0.0,0.0,2.2336311030176788,-1.7080708434841085
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Canada,United States,Public life and holidays,1.0,1.0,0.18995892141289872,1.7333751578926968
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Bangladesh,India,Geography and infrastructure,0.0,0.0,1.86573892134418,-1.3401786618106062
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Kenya,United Kingdom,Politics and government,0.0,0.0,-2.6307495569642043,2.5553952008102527
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",United States,United Kingdom,Geography and infrastructure,0.0,0.0,2.2204920965293384,-1.9314339537858753
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",United Kingdom,United States,Economy and business,0.0,0.0,-0.47574349745829636,0.7026295101640692
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",South Africa,United Kingdom,Economy and business,0.0,1.0,0.45115243835563135,0.2611935169427344
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",South Africa,United Kingdom,Economy and business,0.0,1.0,0.5223870338854706,0.5698767642386944
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Kenya,United Kingdom,Economy and business,1.0,1.0,1.390625,1.015625
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",United Kingdom,United States,Economy and business,0.0,0.0,1.5357475403895329,-1.4142135623730967
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Tanzania,United Kingdom,Geography and infrastructure,0.0,0.0,-0.25729682707106694,1.003231727430892
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Ghana,United Kingdom,Geography and infrastructure,0.0,0.0,3.2088953221798135,-2.018990330874935
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Jamaica,United States,Politics and government,0.0,0.0,-0.30879190166426174,0.12325919800345986
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Jamaica,United States,Politics and government,0.0,0.0,1.5504027656240353,-1.2350666099038925
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Kenya,United Kingdom,Public life and holidays,0.0,0.0,-0.9906036712429707,1.2593023230090932
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",United Kingdom,United States,Public life and holidays,0.0,0.0,2.102756776091123,-0.9504195619759255
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",United Kingdom,United States,Economy and business,0.0,0.0,1.3269445827500048,-1.213759819955082
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Hong Kong,United Kingdom,Economy and business,0.0,0.0,7.19220025543248,-6.897452372222588
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Kenya,United Kingdom,Politics and government,0.0,0.0,-1.2053904049273578,1.2600063111927744
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Jamaica,United States,Geography and infrastructure,0.0,0.0,-1.278625299954225,3.8124025466442397
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Sri Lanka,India,Media and culture,0.0,0.0,-2.4739011039717997,3.4019787542791438
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Malaysia,United Kingdom,Media and culture,0.0,0.0,1.173828787613946,-1.1196861488365375
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Pakistan,India,Media and culture,0.0,0.0,1.9708509732508936,-2.4175771938544273
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",Jamaica,United States,Media and culture,0.0,0.0,-0.6389431042462723,1.1181504324309772
