family,series,split,accuracy,accuracy_std,seed_count,total
1B,1B T+/I+,Overall,0.24229946524064172,0.0,1,18700
1B,1B T+/I+,Explicit,0.24394117647058824,0.0,1,17000
1B,1B T+/I+,Ambiguous,0.22588235294117648,0.0,1,1700
1B,1B T+/I-,Overall,0.24229946524064172,0.0,1,18700
1B,1B T+/I-,Explicit,0.24394117647058824,0.0,1,17000
1B,1B T+/I-,Ambiguous,0.22588235294117648,0.0,1,1700
1B,1B T-/I+,Overall,0.24229946524064172,0.0,1,18700
1B,1B T-/I+,Explicit,0.24394117647058824,0.0,1,17000
1B,1B T-/I+,Ambiguous,0.22588235294117648,0.0,1,1700
1B,1B T-/I-,Overall,0.24229946524064172,0.0,1,18700
1B,1B T-/I-,Explicit,0.24394117647058824,0.0,1,17000
1B,1B T-/I-,Ambiguous,0.22588235294117648,0.0,1,1700
3B,3B T+/I+,Overall,0.3442780748663102,0.0,1,18700
3B,3B T+/I+,Explicit,0.35041176470588237,0.0,1,17000
3B,3B T+/I+,Ambiguous,0.28294117647058825,0.0,1,1700
3B,3B T+/I-,Overall,0.31219251336898396,0.0,1,18700
3B,3B T+/I-,Explicit,0.31858823529411767,0.0,1,17000
3B,3B T+/I-,Ambiguous,0.24823529411764705,0.0,1,1700
3B,3B T-/I+,Overall,0.32780748663101605,0.0,1,18700
3B,3B T-/I+,Explicit,0.3351764705882353,0.0,1,17000
3B,3B T-/I+,Ambiguous,0.2541176470588235,0.0,1,1700
3B,3B T-/I-,Overall,0.31636363636363635,0.0,1,18700
3B,3B T-/I-,Explicit,0.32894117647058824,0.0,1,17000
3B,3B T-/I-,Ambiguous,0.19058823529411764,0.0,1,1700
