family,series,split,accuracy,accuracy_std,seed_count,total
1B,1B T+/I+,Overall,0.3476470588235294,0.0,1,18700
1B,1B T+/I+,Explicit,0.35452941176470587,0.0,1,17000
1B,1B T+/I+,Ambiguous,0.2788235294117647,0.0,1,1700
1B,1B T+/I-,Overall,0.32240641711229945,0.0,1,18700
1B,1B T+/I-,Explicit,0.33388235294117646,0.0,1,17000
1B,1B T+/I-,Ambiguous,0.2076470588235294,0.0,1,1700
1B,1B T-/I+,Overall,0.3728342245989305,0.0,1,18700
1B,1B T-/I+,Explicit,0.3804705882352941,0.0,1,17000
1B,1B T-/I+,Ambiguous,0.2964705882352941,0.0,1,1700
1B,1B T-/I-,Overall,0.3425668449197861,0.0,1,18700
1B,1B T-/I-,Explicit,0.35611764705882354,0.0,1,17000
1B,1B T-/I-,Ambiguous,0.20705882352941177,0.0,1,1700
3B,3B T+/I+,Overall,0.4060427807486631,0.0,1,18700
3B,3B T+/I+,Explicit,0.4108823529411765,0.0,1,17000
3B,3B T+/I+,Ambiguous,0.35764705882352943,0.0,1,1700
3B,3B T+/I-,Overall,0.37406417112299467,0.0,1,18700
3B,3B T+/I-,Explicit,0.3861176470588235,0.0,1,17000
3B,3B T+/I-,Ambiguous,0.2535294117647059,0.0,1,1700
3B,3B T-/I+,Overall,0.3871657754010695,0.0,1,18700
3B,3B T-/I+,Explicit,0.3956470588235294,0.0,1,17000
3B,3B T-/I+,Ambiguous,0.3023529411764706,0.0,1,1700
3B,3B T-/I-,Overall,0.3840641711229947,0.0,1,18700
3B,3B T-/I-,Explicit,0.3968235294117647,0.0,1,17000
3B,3B T-/I-,Ambiguous,0.2564705882352941,0.0,1,1700
