model_slug,model,n_switch_pairs,exact_pair_delta_pp,exact_pair_ci_low_pp,exact_pair_ci_high_pp,margin_switch_delta_pp,margin_switch_ci_low_pp,margin_switch_ci_high_pp
llama32_1b,LLaMA-3.2-1B,1700,3.058823529411765,2.3764705882352946,3.788235294117647,9.223529411764707,8.08235294117647,10.364705882352942
llama32_3b,LLaMA-3.2-3B,1700,3.8941176470588235,3.1411764705882352,4.705882352941177,10.741176470588238,9.493823529411765,12.03529411764706
qwen25_0p5b,Qwen2.5-0.5B,1700,2.0941176470588236,1.6,2.5885294117647017,5.752941176470587,4.988235294117647,6.529705882352936
qwen25_1p5b,Qwen2.5-1.5B,1700,8.035294117647059,6.964705882352941,9.129411764705882,21.27058823529412,19.635294117647064,22.88235294117647
qwen25_3b,Qwen2.5-3B,1700,8.905882352941177,7.8117647058823545,10.058823529411764,25.75294117647059,23.976470588235298,27.44735294117647
qwen35_0p8b,Qwen3.5-0.8B,1700,2.4000000000000004,1.847058823529412,2.9647058823529413,8.282352941176471,7.2114705882352945,9.329411764705883
qwen35_2b,Qwen3.5-2B,1700,8.129411764705882,7.0588235294117645,9.235588235294113,20.094117647058827,18.458823529411767,21.68235294117647
qwen35_4b,Qwen3.5-4B,1700,0.9529411764705882,0.5882352941176471,1.3647058823529412,2.929411764705882,2.270588235294118,3.6117647058823534
qwen35_9b,Qwen3.5-9B,1700,0.8588235294117649,0.5294117647058824,1.2238235294117605,2.564705882352941,2.0,3.176470588235294
gemma4_e2b_it,Gemma-4-E2B-it,1700,3.5647058823529414,2.846764705882353,4.329411764705882,10.458823529411765,9.305882352941177,11.611764705882353
gemma4_e4b_it,Gemma-4-E4B-it,1700,8.764705882352942,7.564411764705881,9.964705882352941,22.988235294117647,21.18823529411765,24.706176470588233
mistral7b_v02,Mistral-7B-Instruct-v0.2,1700,14.811764705882355,13.423529411764706,16.28235294117647,32.31764705882353,30.45882352941176,34.129411764705885
