variant,prompt_kind,case_id,locale_a,locale_b,symmetric_kl
continent_final,continent,football_role,us,gb,0.42763373255729675
continent_final,continent,football_role,us,in,0.6548432111740112
continent_final,continent,football_role,us,ng,0.5793710947036743
continent_final,continent,football_role,gb,in,0.19982346892356873
continent_final,continent,football_role,gb,ng,0.12274646759033203
continent_final,continent,football_role,in,ng,0.0654512345790863
continent_final,continent,fuel_word,us,gb,0.14984382688999176
continent_final,continent,fuel_word,us,in,0.5264157056808472
continent_final,continent,fuel_word,us,ng,0.34608936309814453
continent_final,continent,fuel_word,gb,in,0.40495455265045166
continent_final,continent,fuel_word,gb,ng,0.2434377521276474
continent_final,continent,fuel_word,in,ng,0.2316511869430542
continent_final,continent,biscuit_word,us,gb,0.33526748418807983
continent_final,continent,biscuit_word,us,in,0.19626805186271667
continent_final,continent,biscuit_word,us,ng,0.12733305990695953
continent_final,continent,biscuit_word,gb,in,0.3083108067512512
continent_final,continent,biscuit_word,gb,ng,0.2597377598285675
continent_final,continent,biscuit_word,in,ng,0.11641208827495575
continent_final,continent,chips_word,us,gb,0.15339356660842896
continent_final,continent,chips_word,us,in,0.2952761650085449
continent_final,continent,chips_word,us,ng,0.28035837411880493
continent_final,continent,chips_word,gb,in,0.23335307836532593
continent_final,continent,chips_word,gb,ng,0.2731877267360687
continent_final,continent,chips_word,in,ng,0.19917556643486023
continent_final,continent,cricket_baseball,us,gb,0.5387479662895203
continent_final,continent,cricket_baseball,us,in,0.6404389142990112
continent_final,continent,cricket_baseball,us,ng,0.616390585899353
continent_final,continent,cricket_baseball,gb,in,0.2695361375808716
continent_final,continent,cricket_baseball,gb,ng,0.14100006222724915
continent_final,continent,cricket_baseball,in,ng,0.27496135234832764
continent_final,continent,head_of_government,us,gb,0.24050742387771606
continent_final,continent,head_of_government,us,in,0.25224947929382324
continent_final,continent,head_of_government,us,ng,0.1712670624256134
continent_final,continent,head_of_government,gb,in,0.156751811504364
continent_final,continent,head_of_government,gb,ng,0.25636154413223267
continent_final,continent,head_of_government,in,ng,0.16795560717582703
