doc_id,country,continent,year,boundary_idx
53897333,Nigeria,Africa,2022,5
40721671,Nigeria,Africa,2019,5
19170475,South Africa,Africa,2017,5
30762454,South Africa,Africa,2019,5
7987346,Nigeria,Africa,2016,5
9723659,South Africa,Africa,2016,5
19493380,Nigeria,Africa,2017,5
30484695,Ghana,Africa,2019,5
19123298,Nigeria,Africa,2017,5
60564570,Tanzania,Africa,2019,5
50807614,Kenya,Africa,2019,5
51016968,Nigeria,Africa,2019,5
40751769,Nigeria,Africa,2019,5
17944904,Nigeria,Africa,2017,5
8216597,Nigeria,Africa,2016,5
15789713,Nigeria,Africa,2016,5
30083207,Ghana,Africa,2018,5
10051255,Tanzania,Africa,2016,5
51160683,Nigeria,Africa,2019,5
4837086,South Africa,Africa,2014,5
105115579,Nigeria,Africa,2024,5
30606424,Ghana,Africa,2019,5
50676505,Kenya,Africa,2019,5
8452957,Nigeria,Africa,2016,5
91468721,South Africa,Africa,2022,5
32645304,Ghana,Africa,2021,5
17665863,South Africa,Africa,2017,5
40910834,Nigeria,Africa,2019,5
10351992,South Africa,Africa,2016,5
50942976,Kenya,Africa,2019,5
52278608,Nigeria,Africa,2020,5
18235145,South Africa,Africa,2017,5
7928746,South Africa,Africa,2016,5
115624574,Nigeria,Africa,2024,5
52041107,Nigeria,Africa,2020,5
21638758,Nigeria,Africa,2017,5
22142536,Nigeria,Africa,2017,5
62645375,South Africa,Africa,2021,5
16714008,Nigeria,Africa,2017,5
116388461,South Africa,Africa,2024,5
111672909,South Africa,Africa,2024,5
110824444,Tanzania,Africa,2024,5
30985415,South Africa,Africa,2019,5
25581225,Nigeria,Africa,2018,5
14826573,Ghana,Africa,2016,5
616940,South Africa,Africa,2013,5
90517006,Nigeria,Africa,2022,5
62661470,South Africa,Africa,2021,5
17447756,Nigeria,Africa,2017,5
118373779,Kenya,Africa,2024,5
18972254,South Africa,Africa,2017,5
61899735,South Africa,Africa,2020,5
114266996,Ghana,Africa,2024,5
119023990,Nigeria,Africa,2024,5
40046427,Nigeria,Africa,2018,5
26044897,Nigeria,Africa,2018,5
10156891,Nigeria,Africa,2016,5
22222324,South Africa,Africa,2017,5
19742744,Nigeria,Africa,2017,5
14722121,Nigeria,Africa,2016,5
20040662,Nigeria,Africa,2017,5
94603639,South Africa,Africa,2022,5
61798420,South Africa,Africa,2020,5
30130690,South Africa,Africa,2018,5
62202487,South Africa,Africa,2020,5
114029654,South Africa,Africa,2024,5
106124266,Nigeria,Africa,2024,5
61162411,South Africa,Africa,2019,5
25686195,Nigeria,Africa,2018,5
1814007,Ghana,Africa,2012,5
23814361,South Africa,Africa,2018,5
255280,South Africa,Africa,2013,5
30822519,South Africa,Africa,2019,5
30356954,South Africa,Africa,2018,5
13842520,Ghana,Africa,2016,5
62977809,South Africa,Africa,2021,5
31199910,South Africa,Africa,2019,5
2613866,South Africa,Africa,2014,5
15750671,Nigeria,Africa,2016,5
51761543,Nigeria,Africa,2020,5
40383093,Nigeria,Africa,2018,5
11000179,Nigeria,Africa,2016,5
40764777,Nigeria,Africa,2019,5
104124971,Nigeria,Africa,2023,5
52896050,Nigeria,Africa,2021,5
30989285,South Africa,Africa,2019,5
26124026,Nigeria,Africa,2018,5
117566910,Nigeria,Africa,2024,5
1281840,South Africa,Africa,2012,5
98527535,Nigeria,Africa,2023,5
117944657,Nigeria,Africa,2024,5
15180009,Kenya,Africa,2016,5
52796246,Nigeria,Africa,2021,5
16008708,Ghana,Africa,2016,5
13671703,South Africa,Africa,2016,5
30604059,South Africa,Africa,2019,5
61183481,South Africa,Africa,2019,5
2790051,South Africa,Africa,2014,5
62723955,Kenya,Africa,2021,5
30705570,South Africa,Africa,2019,5
1855383,Nigeria,Africa,2013,5
50220052,Kenya,Africa,2018,5
1851430,Nigeria,Africa,2013,5
52757290,Nigeria,Africa,2021,5
62421923,South Africa,Africa,2020,5
14507150,Nigeria,Africa,2016,5
7496272,South Africa,Africa,2016,5
30285908,Ghana,Africa,2018,5
22406243,Ghana,Africa,2017,5
19860327,Nigeria,Africa,2017,5
40133257,Nigeria,Africa,2018,5
93799858,Nigeria,Africa,2022,5
9893691,South Africa,Africa,2016,5
14001824,South Africa,Africa,2016,5
50809438,Kenya,Africa,2019,5
93581312,Ghana,Africa,2022,5
23244810,Nigeria,Africa,2018,5
63475917,South Africa,Africa,2021,5
63403943,South Africa,Africa,2021,5
1807974,Kenya,Africa,2012,5
3222017,South Africa,Africa,2015,5
61621408,Kenya,Africa,2020,5
30969398,South Africa,Africa,2019,5
113708047,Kenya,Africa,2024,5
50999449,Nigeria,Africa,2019,5
93007429,Nigeria,Africa,2022,5
241111,South Africa,Africa,2013,5
30406817,South Africa,Africa,2019,5
20993379,South Africa,Africa,2017,5
23433211,Kenya,Africa,2018,5
8661140,South Africa,Africa,2016,5
14628347,Ghana,Africa,2016,5
40532078,Nigeria,Africa,2019,5
30503136,South Africa,Africa,2019,5
15821868,Kenya,Africa,2016,5
24623909,South Africa,Africa,2018,5
25074767,Ghana,Africa,2018,5
92877166,Nigeria,Africa,2022,5
