doc_id,country,continent,year,boundary_idx
53897333,Nigeria,Africa,2022,11
40721671,Nigeria,Africa,2019,20
19170475,South Africa,Africa,2017,16
30762454,South Africa,Africa,2019,16
7987346,Nigeria,Africa,2016,14
9723659,South Africa,Africa,2016,9
19493380,Nigeria,Africa,2017,14
30484695,Ghana,Africa,2019,16
19123298,Nigeria,Africa,2017,12
60564570,Tanzania,Africa,2019,9
50807614,Kenya,Africa,2019,17
51016968,Nigeria,Africa,2019,16
40751769,Nigeria,Africa,2019,11
17944904,Nigeria,Africa,2017,9
8216597,Nigeria,Africa,2016,7
15789713,Nigeria,Africa,2016,21
30083207,Ghana,Africa,2018,14
10051255,Tanzania,Africa,2016,11
51160683,Nigeria,Africa,2019,16
4837086,South Africa,Africa,2014,12
105115579,Nigeria,Africa,2024,22
30606424,Ghana,Africa,2019,18
50676505,Kenya,Africa,2019,15
8452957,Nigeria,Africa,2016,10
91468721,South Africa,Africa,2022,10
32645304,Ghana,Africa,2021,20
17665863,South Africa,Africa,2017,13
40910834,Nigeria,Africa,2019,9
10351992,South Africa,Africa,2016,10
50942976,Kenya,Africa,2019,15
52278608,Nigeria,Africa,2020,16
18235145,South Africa,Africa,2017,11
7928746,South Africa,Africa,2016,19
115624574,Nigeria,Africa,2024,19
52041107,Nigeria,Africa,2020,16
21638758,Nigeria,Africa,2017,15
22142536,Nigeria,Africa,2017,11
62645375,South Africa,Africa,2021,15
16714008,Nigeria,Africa,2017,9
116388461,South Africa,Africa,2024,18
111672909,South Africa,Africa,2024,4
110824444,Tanzania,Africa,2024,20
30985415,South Africa,Africa,2019,10
25581225,Nigeria,Africa,2018,13
14826573,Ghana,Africa,2016,8
616940,South Africa,Africa,2013,12
90517006,Nigeria,Africa,2022,13
62661470,South Africa,Africa,2021,15
17447756,Nigeria,Africa,2017,13
118373779,Kenya,Africa,2024,12
18972254,South Africa,Africa,2017,14
61899735,South Africa,Africa,2020,10
114266996,Ghana,Africa,2024,20
119023990,Nigeria,Africa,2024,22
40046427,Nigeria,Africa,2018,19
26044897,Nigeria,Africa,2018,18
10156891,Nigeria,Africa,2016,14
22222324,South Africa,Africa,2017,17
19742744,Nigeria,Africa,2017,15
14722121,Nigeria,Africa,2016,13
20040662,Nigeria,Africa,2017,12
94603639,South Africa,Africa,2022,26
61798420,South Africa,Africa,2020,18
30130690,South Africa,Africa,2018,19
62202487,South Africa,Africa,2020,14
114029654,South Africa,Africa,2024,13
106124266,Nigeria,Africa,2024,16
61162411,South Africa,Africa,2019,22
25686195,Nigeria,Africa,2018,15
1814007,Ghana,Africa,2012,12
23814361,South Africa,Africa,2018,15
255280,South Africa,Africa,2013,12
30822519,South Africa,Africa,2019,13
30356954,South Africa,Africa,2018,14
13842520,Ghana,Africa,2016,17
62977809,South Africa,Africa,2021,18
31199910,South Africa,Africa,2019,8
2613866,South Africa,Africa,2014,10
15750671,Nigeria,Africa,2016,13
51761543,Nigeria,Africa,2020,13
40383093,Nigeria,Africa,2018,13
11000179,Nigeria,Africa,2016,13
40764777,Nigeria,Africa,2019,19
104124971,Nigeria,Africa,2023,13
