doc_id,country,continent,year,boundary_idx
53897333,Nigeria,Africa,2022,21
40721671,Nigeria,Africa,2019,42
19170475,South Africa,Africa,2017,35
30762454,South Africa,Africa,2019,44
7987346,Nigeria,Africa,2016,28
9723659,South Africa,Africa,2016,26
19493380,Nigeria,Africa,2017,27
30484695,Ghana,Africa,2019,38
19123298,Nigeria,Africa,2017,34
60564570,Tanzania,Africa,2019,40
50807614,Kenya,Africa,2019,44
51016968,Nigeria,Africa,2019,34
40751769,Nigeria,Africa,2019,24
17944904,Nigeria,Africa,2017,29
8216597,Nigeria,Africa,2016,17
15789713,Nigeria,Africa,2016,33
30083207,Ghana,Africa,2018,35
10051255,Tanzania,Africa,2016,33
51160683,Nigeria,Africa,2019,32
4837086,South Africa,Africa,2014,26
105115579,Nigeria,Africa,2024,37
30606424,Ghana,Africa,2019,29
50676505,Kenya,Africa,2019,39
8452957,Nigeria,Africa,2016,30
91468721,South Africa,Africa,2022,25
32645304,Ghana,Africa,2021,23
17665863,South Africa,Africa,2017,34
40910834,Nigeria,Africa,2019,20
10351992,South Africa,Africa,2016,24
50942976,Kenya,Africa,2019,34
52278608,Nigeria,Africa,2020,32
18235145,South Africa,Africa,2017,45
7928746,South Africa,Africa,2016,35
115624574,Nigeria,Africa,2024,26
52041107,Nigeria,Africa,2020,40
21638758,Nigeria,Africa,2017,25
22142536,Nigeria,Africa,2017,24
62645375,South Africa,Africa,2021,27
16714008,Nigeria,Africa,2017,16
116388461,South Africa,Africa,2024,32
111672909,South Africa,Africa,2024,12
110824444,Tanzania,Africa,2024,48
30985415,South Africa,Africa,2019,23
25581225,Nigeria,Africa,2018,31
14826573,Ghana,Africa,2016,29
616940,South Africa,Africa,2013,22
90517006,Nigeria,Africa,2022,22
62661470,South Africa,Africa,2021,17
17447756,Nigeria,Africa,2017,27
118373779,Kenya,Africa,2024,30
18972254,South Africa,Africa,2017,38
61899735,South Africa,Africa,2020,37
114266996,Ghana,Africa,2024,30
119023990,Nigeria,Africa,2024,31
40046427,Nigeria,Africa,2018,32
26044897,Nigeria,Africa,2018,33
10156891,Nigeria,Africa,2016,28
22222324,South Africa,Africa,2017,31
19742744,Nigeria,Africa,2017,34
14722121,Nigeria,Africa,2016,40
20040662,Nigeria,Africa,2017,23
94603639,South Africa,Africa,2022,32
61798420,South Africa,Africa,2020,33
30130690,South Africa,Africa,2018,40
62202487,South Africa,Africa,2020,47
114029654,South Africa,Africa,2024,24
106124266,Nigeria,Africa,2024,29
61162411,South Africa,Africa,2019,28
25686195,Nigeria,Africa,2018,32
1814007,Ghana,Africa,2012,34
23814361,South Africa,Africa,2018,29
255280,South Africa,Africa,2013,26
30822519,South Africa,Africa,2019,30
30356954,South Africa,Africa,2018,25
13842520,Ghana,Africa,2016,34
62977809,South Africa,Africa,2021,27
31199910,South Africa,Africa,2019,25
2613866,South Africa,Africa,2014,27
15750671,Nigeria,Africa,2016,28
51761543,Nigeria,Africa,2020,35
40383093,Nigeria,Africa,2018,32
11000179,Nigeria,Africa,2016,36
40764777,Nigeria,Africa,2019,27
104124971,Nigeria,Africa,2023,24
52896050,Nigeria,Africa,2021,30
30989285,South Africa,Africa,2019,32
26124026,Nigeria,Africa,2018,28
117566910,Nigeria,Africa,2024,31
1281840,South Africa,Africa,2012,16
98527535,Nigeria,Africa,2023,25
117944657,Nigeria,Africa,2024,40
15180009,Kenya,Africa,2016,30
52796246,Nigeria,Africa,2021,25
16008708,Ghana,Africa,2016,26
13671703,South Africa,Africa,2016,29
30604059,South Africa,Africa,2019,23
61183481,South Africa,Africa,2019,33
2790051,South Africa,Africa,2014,35
62723955,Kenya,Africa,2021,34
30705570,South Africa,Africa,2019,40
1855383,Nigeria,Africa,2013,30
50220052,Kenya,Africa,2018,31
1851430,Nigeria,Africa,2013,23
52757290,Nigeria,Africa,2021,27
62421923,South Africa,Africa,2020,24
14507150,Nigeria,Africa,2016,29
7496272,South Africa,Africa,2016,33
30285908,Ghana,Africa,2018,38
22406243,Ghana,Africa,2017,34
19860327,Nigeria,Africa,2017,41
40133257,Nigeria,Africa,2018,30
93799858,Nigeria,Africa,2022,25
9893691,South Africa,Africa,2016,36
