size,continent,country,country_name,mean_ppl,loss_sum,token_count,sample_count,model_path,test_set_path,per_sample_path,continent_mean_ppl
500M,Africa,NG,Nigeria,7.93505753111557,469520.154171437,226680,420,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/results/per_sample_losses/africa_with_metadata_500m__with_metadata__test__max1000__seed42__23357171fa.jsonl,9.5314736384436
500M,Africa,ZA,South Africa,11.352321952232133,461408.03038324416,189925,343,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/results/per_sample_losses/africa_with_metadata_500m__with_metadata__test__max1000__seed42__23357171fa.jsonl,9.5314736384436
500M,Africa,GH,Ghana,10.081126710616038,98399.67044067383,42585,84,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/results/per_sample_losses/africa_with_metadata_500m__with_metadata__test__max1000__seed42__23357171fa.jsonl,9.5314736384436
500M,Africa,KE,Kenya,10.17602025969364,170796.26282978058,73618,140,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/results/per_sample_losses/africa_with_metadata_500m__with_metadata__test__max1000__seed42__23357171fa.jsonl,9.5314736384436
500M,Africa,TZ,Tanzania,11.121948679329268,17864.55453491211,7416,13,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/results/per_sample_losses/africa_with_metadata_500m__with_metadata__test__max1000__seed42__23357171fa.jsonl,9.5314736384436
500M,America,US,United States,9.902929085838467,1131917.7225570679,493677,768,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/results/per_sample_losses/america_with_metadata_500m__with_metadata__test__max1000__seed42__0d1878aa87.jsonl,9.842292533411253
500M,America,CA,Canada,9.543790763577777,356110.40378284454,157858,217,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/results/per_sample_losses/america_with_metadata_500m__with_metadata__test__max1000__seed42__0d1878aa87.jsonl,9.842292533411253
500M,America,JM,Jamaica,12.334088390166915,20367.75799560547,8107,15,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/results/per_sample_losses/america_with_metadata_500m__with_metadata__test__max1000__seed42__0d1878aa87.jsonl,9.842292533411253
500M,Asia,PH,Philippines,8.302950905111642,149398.8695783913,70584,124,/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/results/per_sample_losses/asia_with_metadata_500m__with_metadata__test__max1000__seed42__751d80f09f.jsonl,8.503802269398502
500M,Asia,SG,Singapore,9.72964116689641,150477.93269252777,66139,115,/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/results/per_sample_losses/asia_with_metadata_500m__with_metadata__test__max1000__seed42__751d80f09f.jsonl,8.503802269398502
