continent,train_meta,infer_meta,mean_ppl,ci_low,ci_high
Africa,T+,I+,9.063804,8.654146,9.473935
Africa,T+,I-,10.389681,9.942534,10.86344
America,T+,I+,8.334115,8.078566,8.5952
America,T+,I-,9.328166,9.040352,9.623503
Asia,T+,I+,7.534573,7.246287,7.81467
Asia,T+,I-,8.49448,8.181541,8.80777
Europe,T+,I+,8.544948,8.237432,8.878502
Europe,T+,I-,9.633084,9.291911,10.006875
Africa,T-,I+,11.383434,10.803567,12.044169
Africa,T-,I-,10.493806,10.038384,10.975119
America,T-,I+,8.997427,8.719445,9.278428
America,T-,I-,8.981938,8.702028,9.254163
Asia,T-,I+,8.238835,7.928717,8.544424
Asia,T-,I-,8.29483,7.979123,8.605799
Europe,T-,I+,9.326996,8.985271,9.678315
Europe,T-,I-,9.320186,8.980019,9.676248
