size,train_tag,step,tokens_b,mean_ppl,ci_low,ci_high,model_path,test_set_path,final_tminus_target_ppl,tplus_cross_tokens_b,tminus_final_tokens_b,token_savings_frac
1B,T+,2000,8.388608,11.991643,11.570336,12.39099,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step2k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T+,4000,16.777216,10.394127,10.032014,10.729147,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step4k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T+,8000,33.554432,9.302882,8.975903,9.603152,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T+,10000,41.94304,9.150932,8.82721,9.447744,/scratch/amukher6/metacul/models/combined_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T-,2000,8.388608,13.094067,12.626786,13.542662,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T-,4000,16.777216,11.260589,10.866038,11.631489,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T-,8000,33.554432,10.113914,9.759035,10.438066,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step8k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T-,10000,41.94304,9.963763,9.61186,10.285966,/scratch/amukher6/metacul/models/combined_without_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
3B,T+,2000,8.388608,12.128906,11.69136,12.545493,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_with_metadata_3b_step2k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T+,4000,16.777216,10.060759,9.705824,10.388982,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_with_metadata_3b_step4k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T+,8000,33.554432,8.97174,8.648795,9.266777,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_with_metadata_3b_step8k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T+,10000,41.94304,8.88929,8.575362,9.18097,/scratch/amukher6/metacul/models/combined_with_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T-,2000,8.388608,13.213083,12.738681,13.669506,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_without_metadata_3b_step2k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T-,4000,16.777216,10.959823,10.574701,11.322638,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_without_metadata_3b_step4k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T-,8000,33.554432,9.891383,9.538385,10.214014,/scratch/amukher6/metacul/models/ablation_intermediates/metadata/combined_without_metadata_3b_step8k,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T-,10000,41.94304,9.804461,9.455572,10.129962,/scratch/amukher6/metacul/models/combined_without_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
