row_key,track,label,short_label,group,plus_condition,minus_condition,external_geomlama_plus,external_geomlama_minus,external_geomlama_delta,external_globalopinionqa_plus,external_globalopinionqa_minus,external_globalopinionqa_delta,external_globalmmlu_cs_plus,external_globalmmlu_cs_minus,external_globalmmlu_cs_delta,external_normad_plus,external_normad_minus,external_normad_delta,external_blend_plus,external_blend_minus,external_blend_delta,external_worldvaluebench_plus,external_worldvaluebench_minus,external_worldvaluebench_delta,local_gain,local_ci_low,local_ci_high,local_plus_value,local_minus_value,local_n,external_blend_plus_score,external_blend_minus_score,external_geomlama_plus_score,external_geomlama_minus_score,external_globalmmlu_cs_plus_score,external_globalmmlu_cs_minus_score,external_globalopinionqa_plus_score,external_globalopinionqa_minus_score,external_normad_plus_score,external_normad_minus_score,external_worldvaluebench_plus_score,external_worldvaluebench_minus_score,external_downstream_index_plus,external_downstream_index_minus,external_downstream_index_delta,external_metric_count,plot_label,pareto_localnewsqa_ambiguous
gemma4_e2b,base,Gemma-4-E2B Base,Gemma 4 E2B base,Gemma-4 family,metadata,no metadata,33.33333333333333,30.666666666666664,2.666666666666667,16.948462008555715,16.69382766347525,0.2546343450804644,31.818181818181817,31.565656565656564,0.2525252525252525,39.99240410178504,33.87770603873908,6.114698063045955,22.646310432569976,22.900763358778622,-0.2544529262086514,0.3547858558146624,0.3537570492303002,-0.0010288065843621,2.443780851971479,1.870924492656469,3.0349198610518617,36.39466146626852,33.95088061429703,16409,32.758620689655174,33.6206896551724,39.53488372093021,30.23255813953487,29.761904761904756,28.571428571428566,9.892729439809314,8.402860548271766,27.392739273927408,9.680968096809677,51.92215049619424,52.442431833509985,31.877171397070185,27.15848947412121,4.718681922948974,6,Gemma 4 E2B base,False
gemma4_e2b,chat,Gemma-4-E2B-it,Gemma 4 E2B chat,Gemma-4 family,metadata,no metadata,39.33333333333333,37.333333333333336,2.0,16.785496027704216,16.83642289672031,-0.0509268690160929,34.5959595959596,34.090909090909086,0.5050505050505051,45.3475123433346,44.24610710216484,1.1014052411697683,21.882951653944023,22.391857506361323,-0.5089058524173028,0.3227594878829447,0.3518518518518518,0.0290923639689071,3.4919861051861782,3.0592967274056924,3.918581266378207,42.15979035894936,38.66780425376318,16409,30.172413793103452,31.89655172413793,60.46511627906974,53.48837209302325,42.85714285714287,40.47619047619045,8.939213349225273,9.237187127532795,42.90429042904291,39.713971397139744,68.11831583004142,53.40591579150209,42.24274875627094,38.03636476825438,4.206383988016562,6,Gemma 4 E2B chat,False
gemma4_e4b,base,Gemma-4-E4B Base,Gemma 4 E4B base,Gemma-4 family,metadata,no metadata,44.0,38.66666666666666,5.333333333333334,18.2012629863516,18.7512731717254,-0.5500101853738032,46.71717171717172,43.81313131313132,2.904040404040404,65.05886821116597,63.34979111279909,1.709077098366882,35.87786259541985,30.788804071246812,5.089058524173027,0.3501181222374638,0.3541571406797744,0.0040390184423105,1.1274300688646477,0.5727040039002986,1.7065330001828256,37.14425010664879,36.01682003778414,16409,77.58620689655172,60.34482758620686,76.74418604651162,58.13953488372089,100.0,86.30952380952382,17.222884386174037,20.441001191895115,100.0,95.04950495049505,54.28268619327488,52.24010020233164,70.97266058708537,62.08741543736223,8.88524514972314,6,Gemma 4 E4B base,True
gemma4_e4b,chat,Gemma-4-E4B-it,Gemma 4 E4B chat,Gemma-4 family,metadata,no metadata,45.33333333333333,44.0,1.3333333333333337,17.0503157465879,18.0382970055001,-0.987981258912202,40.53030303030303,37.87878787878788,2.6515151515151514,54.19673376376757,51.69008735282947,2.5066464109380937,24.681933842239182,26.208651399491096,-1.5267175572519085,0.31997789971041,0.3108901082152111,-0.0090877914951988,7.221646657322202,6.7339569748308845,7.733713206167346,48.040709366810894,40.8190627094887,16409,39.65517241379309,44.827586206896555,81.39534883720927,76.74418604651162,70.83333333333333,58.333333333333336,10.488676996424315,16.269368295589995,68.53685368536856,61.27612761276128,69.52500240870988,74.12082088833219,56.73906461247307,55.26190373057083,1.4771608819022433,6,Gemma 4 E4B chat,False
llama32_1b,base,LLaMA-3.2-1B Base,LLaMA 1B base,LLaMA family,metadata,no metadata,22.0,24.666666666666668,-2.666666666666667,17.885516398451824,18.007740884090445,-0.1222244856386229,29.166666666666668,27.146464646464647,2.0202020202020203,36.49829092290163,35.09304975313331,1.4052411697683251,15.267175572519085,15.267175572519085,0.0,0.4304602956866331,0.4473975003810395,0.0169372046944063,2.084222073252483,1.5357425802913036,2.608324699859833,41.92211591199951,39.83789383874703,16409,7.75862068965518,7.75862068965518,0.0,9.302325581395351,17.261904761904777,7.738095238095253,15.375446960667471,16.090584028605488,17.27172717271727,13.201320132013203,13.652567684748057,5.087195298198257,11.886711211615458,9.863023494660455,2.0236877169550027,6,LLaMA 1B base,False
llama32_1b,chat,LLaMA-3.2-1B Inst.,LLaMA 1B chat,LLaMA family,metadata,no metadata,31.333333333333336,26.0,5.333333333333334,16.32715420655938,16.57160317783663,-0.2444489712772458,28.28282828282828,29.29292929292929,-1.0101010101010102,30.95328522597797,30.95328522597797,0.0,16.539440203562343,17.8117048346056,-1.2722646310432568,0.403139765279683,0.4339849108367627,0.0308451455570797,1.6759095618258273,1.2249375342799682,2.1756353220793465,41.97086964470717,40.29496008288135,16409,12.06896551724139,16.379310344827594,32.55813953488372,13.95348837209302,13.095238095238093,17.857142857142854,6.257449344457699,7.687723480333751,1.2101210121012147,1.2101210121012147,27.468927642354735,11.870122362462627,15.44314019104614,11.492984738160176,3.950155452885964,6,LLaMA 1B chat,False
llama32_3b,base,LLaMA-3.2-3B Base,LLaMA 3B base,LLaMA family,metadata,no metadata,26.0,31.333333333333336,-5.333333333333334,17.926257893664697,17.529028315339172,0.3972295783255245,31.565656565656564,30.80808080808081,0.7575757575757576,32.510444360045575,30.6114698063046,1.89897455374098,16.793893129770993,15.267175572519085,1.5267175572519085,0.457456942539247,0.4318510897729005,-0.0256058527663465,5.003351819123652,4.467060759339387,5.5335486623194585,46.84624291547322,41.84289109634957,16409,12.931034482758625,7.75862068965518,13.95348837209302,32.55813953488372,28.571428571428566,25.00000000000001,15.613825983313475,13.289630512514899,5.720572057205725,0.22002200220024234,0.0,12.949224395413786,12.798391577799903,15.295939522444641,-2.4975479446447384,6,LLaMA 3B base,False
llama32_3b,chat,LLaMA-3.2-3B Inst.,LLaMA 3B chat,LLaMA family,metadata,no metadata,30.666666666666664,35.333333333333336,-4.666666666666667,15.257689957221428,16.215115094723977,-0.9574251375025464,34.72222222222222,37.62626262626262,-2.904040404040404,46.296999620205085,46.82871249525256,-0.5317128750474744,20.10178117048346,29.262086513994912,-9.16030534351145,0.3644642584971803,0.2689948178631306,-0.0954694406340497,-0.0182826497653726,-0.5972332256688403,0.5484794929611798,44.4938753123286,44.51215796209397,16409,24.137931034482754,55.172413793103445,30.23255813953487,46.51162790697674,43.45238095238094,57.14285714285712,0.0,5.601907032181181,45.65456545654564,47.19471947194718,47.027651989594375,95.30783312457848,31.75084792875643,51.15522641194068,-19.404378483184253,6,LLaMA 3B chat,False
maple_1b,base,MAPLE 1B Base,MAPLE 1B base,MAPLE family,T+/I+,T-/I-,28.666666666666668,26.0,2.666666666666667,26.30882053371359,25.03564880831127,1.2731717254023225,28.28282828282828,28.156565656565657,0.1262626262626262,34.67527535131029,33.23205469046715,1.4432206608431448,29.77099236641221,20.35623409669211,9.4147582697201,0.2597165066300869,0.2867703094040543,0.0270538027739674,4.369553293924066,3.747790846486685,4.954750441830703,38.96032665000914,34.59077335608507,16409,56.896551724137915,24.999999999999993,23.25581395348837,13.95348837209302,13.095238095238093,12.500000000000014,64.66030989272944,57.210965435041736,11.99119911991199,7.810781078107827,100.0,86.31852779651217,44.983185464250965,33.79896044695912,11.184225017291844,6,MAPLE 1B base,False
maple_1b,chat,MAPLE 1B Chat,MAPLE 1B chat,MAPLE family,T+/I+,T-/I-,40.0,36.0,4.0,32.348747199022206,29.629252393562844,2.7194948054593606,26.04352479486265,25.786657153050303,0.2568676418123439,37.14394227117357,33.34599316369161,3.79794910748196,16.539440203562343,15.521628498727736,1.0178117048346056,0.4321178174058833,0.4462543819539704,0.0141365645480871,4.393930160277897,3.58324699859833,5.210555183131208,36.10213907002255,31.70820890974465,16409,12.06896551724139,8.620689655172422,62.790697674418595,48.837209302325576,2.538521651971547,1.3275741977133488,100.0,84.08820023837902,19.14191419141916,8.140814081408154,12.814336641294883,5.665285672993545,34.8924059460576,26.113295524665347,8.779110421392254,6,MAPLE 1B chat,False
