model_path,test_set_path,mean_ppl,ci_low,ci_high,skipped,ci_level,bootstrap_method,split,max_samples,seed,bootstrap_iters,skipped_samples,ci_method
/scratch/amukher6/metacul/models/combined_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,9.150932,8.82721,9.447744,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_with_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,8.88929,8.575362,9.18097,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_with_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,7.597668,7.337589,7.868366,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_with_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,9.455178,9.190418,9.73782,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_with_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,8.519932,8.21276,8.834709,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_with_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,8.687064,8.394328,9.004436,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_without_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,9.963763,9.61186,10.285966,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_without_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,9.804461,9.455572,10.129962,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_without_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/without_metadata/,8.498079,8.215269,8.802386,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_without_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/without_metadata/,10.28873,9.995794,10.59945,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_without_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/without_metadata/,9.431517,9.098134,9.767984,,0.95,,test,1000,42,1000,0,bootstrap
/scratch/amukher6/metacul/models/combined_without_metadata_3b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/without_metadata/,9.494862,9.175898,9.834685,,0.95,,test,1000,42,1000,0,bootstrap
