label,model,RC1,RC2,distance_from_country_centroid,family,rank
GLM-5.1,zai-org/GLM-5.1,0.1591541017226006,-5.993791706279231e-05,0.17123355278898206,Zhipu,1
Qwen 3.5 397B,Qwen/Qwen3.5-397B-A17B,0.5777062725747356,-0.303052999306026,0.35174987196519686,Qwen,2
Kimi K2.5,moonshotai/Kimi-K2.5,-0.0528669269952489,-0.2862412908767513,0.3613020737722696,Moonshot,3
Claude Sonnet 4.6,claude-sonnet-4-6,0.3136144609489583,-0.4982887342464867,0.3719633065654582,Anthropic,4
GPT-5.4,gpt-5.4,0.5336767181285217,-0.4051112548103652,0.3805075117957743,OpenAI,5
DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,0.6433337483062888,-0.2795718380952487,0.40060982026817976,DeepSeek,6
Claude Haiku 4.5,claude-haiku-4-5-20251001,0.5266106560544533,-0.4941056958759454,0.44527677697999635,Anthropic,7
Gemini 2.5 Flash,gemini-2.5-flash,0.5153896543622504,-0.523252801301774,0.4635120051966105,Google,8
Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,0.7677512708670414,0.2430796395294739,0.6194313009689831,Google,9
Claude Opus 4.7,claude-opus-4-7,0.4156986538987371,-0.7619649555222525,0.6493750280901404,Anthropic,10
"MAPLE 1B (T+, I+)",,-0.3825396137667879,0.104135193148491,0.6949287584632122,MAPLE,11
"MAPLE 3B (T+, I+)",,0.252017922535934,0.6172642446721941,0.74617144164037,MAPLE,12
Gemma 4 31B,gemma-4-31b-it,-0.007480731587876,-1.0379025328420728,0.9513246306753573,Google,13
Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1.1340902002718554,-0.6672147389874674,1.0162897005606253,Meta,14
GPT-5.4-nano,gpt-5.4-nano,0.7008847196233752,0.853341886544532,1.0714500554636184,OpenAI,15
GPT-4o,gpt-4o,1.4909584169657952,-0.5619657140022588,1.2934588531673326,OpenAI,16
GPT-4,gpt-4,1.7119285036117022,-0.5440947322591299,1.4984300144865423,OpenAI,17
GPT-4-turbo,gpt-4-turbo,1.8214251657443028,-0.2017762896654392,1.5509043199111257,OpenAI,18
GPT-3,gpt-3,2.102282548014211,0.2727066836223366,1.8735274508028377,OpenAI,19
GPT-3.5-turbo,gpt-3.5-turbo,2.987081836716281,0.0346838718102861,2.7197431501676648,OpenAI,20
