label,model,RC1,RC2
GPT-5.4,gpt-5.4,2.202536310588276,1.040570054614278
GPT-5.4-nano,gpt-5.4-nano,2.1348875462581787,0.6505470816818282
Claude Opus 4.7,claude-opus-4-7,1.6596780877774862,0.4204605409406904
Claude Sonnet 4.6,claude-sonnet-4-6,0.8843700429471101,0.7891789348361458
Claude Haiku 4.5,claude-haiku-4-5-20251001,2.1951740924681604,1.363391928559773
Gemini 2.5 Flash,gemini-2.5-flash,2.074544437411424,-0.0362531707856079
Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,2.394459682296016,-0.0630199294216888
Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1.8313688943736328,1.9655681684661013
DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,1.1946411079985175,1.8228796048274805
Qwen 3.5 397B,Qwen/Qwen3.5-397B-A17B,1.730003393319209,1.492358519772734
GLM-5.1,zai-org/GLM-5.1,1.9331162084582496,1.3924385087683573
Kimi K2.5,moonshotai/Kimi-K2.5,1.847482929272652,1.3764707575404953
Gemma 4 31B,gemma-4-31b-it,3.477294447359976,1.0356697238045485
