label,model,RC1,RC2
GPT-3,gpt-3,2.102282548014211,0.2727066836223366
GPT-3.5-turbo,gpt-3.5-turbo,2.987081836716281,0.0346838718102861
GPT-4,gpt-4,1.7119285036117022,-0.5440947322591299
GPT-4-turbo,gpt-4-turbo,1.8214251657443028,-0.2017762896654392
GPT-4o,gpt-4o,1.4909584169657952,-0.5619657140022588
GPT-5.4,gpt-5.4,0.5336767181285217,-0.4051112548103652
GPT-5.4-nano,gpt-5.4-nano,0.7008847196233752,0.853341886544532
Claude Opus 4.7,claude-opus-4-7,0.4156986538987371,-0.7619649555222525
Claude Sonnet 4.6,claude-sonnet-4-6,0.3136144609489583,-0.4982887342464867
Claude Haiku 4.5,claude-haiku-4-5-20251001,0.5266106560544533,-0.4941056958759454
Gemini 2.5 Flash,gemini-2.5-flash,0.5153896543622504,-0.523252801301774
Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,0.7677512708670414,0.2430796395294739
Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1.1340902002718554,-0.6672147389874674
DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,0.6433337483062888,-0.2795718380952487
Qwen 3.5 397B,Qwen/Qwen3.5-397B-A17B,0.5777062725747356,-0.303052999306026
GLM-5.1,zai-org/GLM-5.1,0.1591541017226006,-5.993791706279231e-05
Kimi K2.5,moonshotai/Kimi-K2.5,-0.0528669269952489,-0.2862412908767513
Gemma 4 31B,gemma-4-31b-it,0.8127210787799078,-0.5970769965567749
"MAPLE 1B (T+, I+)",,-0.38253961376678797,0.10413519314849108
"MAPLE 3B (T+, I+)",,0.252017922535934,0.6172642446721941
