family,series,split,accuracy
1B,1B T+/I+,Overall,0.3425
1B,1B T+/I+,Explicit,0.30430839002267573
1B,1B T+/I+,Ambiguous,0.3894150417827298
1B,1B T+/I-,Overall,0.33175
1B,1B T+/I-,Explicit,0.3034013605442177
1B,1B T+/I-,Ambiguous,0.3665738161559889
1B,1B T-/I+,Overall,0.33025
1B,1B T-/I+,Explicit,0.2965986394557823
1B,1B T-/I+,Ambiguous,0.3715877437325905
1B,1B T-/I-,Overall,0.3165
1B,1B T-/I-,Explicit,0.29297052154195014
1B,1B T-/I-,Ambiguous,0.34540389972144847
3B,3B T+/I+,Overall,0.36925
3B,3B T+/I+,Explicit,0.3469387755102041
3B,3B T+/I+,Ambiguous,0.3966573816155989
3B,3B T+/I-,Overall,0.3385
3B,3B T+/I-,Explicit,0.3287981859410431
3B,3B T+/I-,Ambiguous,0.35041782729805016
3B,3B T-/I+,Overall,0.34525
3B,3B T-/I+,Explicit,0.3183673469387755
3B,3B T-/I+,Ambiguous,0.37827298050139274
3B,3B T-/I-,Overall,0.3135
3B,3B T-/I-,Explicit,0.32108843537414966
3B,3B T-/I-,Ambiguous,0.3041782729805014
