family,series,split,accuracy,accuracy_std,seed_count,total
1B,1B T+/I+,Overall,0.337626135920165,0.0008683963033642899,5,35874
1B,1B T+/I+,Explicit,0.3078653994348831,0.0009819071626381434,5,19465
1B,1B T+/I+,Ambiguous,0.3729294899140716,0.0011142588015796244,5,16409
1B,1B T+/I-,Overall,0.3283213469365,0.0011400639804486823,5,35874
1B,1B T+/I-,Explicit,0.3065193937837144,0.002213151667239316,5,19465
1B,1B T+/I-,Ambiguous,0.35418367968797615,0.0017627988944992395,5,16409
1B,1B T-/I+,Overall,0.3437252606344428,0.0010834510899135213,5,35874
1B,1B T-/I+,Explicit,0.3069714872848703,0.0018638310186971723,5,19465
1B,1B T-/I+,Ambiguous,0.3873240294960083,0.0018806361378555503,5,16409
1B,1B T-/I-,Overall,0.33836204493505045,0.0010092259584723894,5,35874
1B,1B T-/I-,Explicit,0.3150475211918829,0.0008524103173156137,5,19465
1B,1B T-/I-,Ambiguous,0.36601864830276065,0.001878363703750689,5,16409
3B,3B T+/I+,Overall,0.40608239950939395,0.0015527090669243692,5,35874
3B,3B T+/I+,Explicit,0.39646545080914464,0.0019513429686739993,5,19465
3B,3B T+/I+,Ambiguous,0.4174904016088732,0.0016759649628790927,5,16409
3B,3B T+/I-,Overall,0.3623404136700675,0.0010943690076473782,5,35874
3B,3B T+/I-,Explicit,0.3874955047521192,0.0028322551618652674,5,19465
3B,3B T+/I-,Ambiguous,0.33250045706624415,0.0022729058686052177,5,16409
3B,3B T-/I+,Overall,0.3946646596420806,0.001801187142346312,5,35874
3B,3B T-/I+,Explicit,0.3851631132802466,0.0012061468762048105,5,19465
3B,3B T-/I+,Ambiguous,0.4059357669571577,0.0026553586359966286,5,16409
3B,3B T-/I-,Overall,0.3609800970061883,0.0021149835555092315,5,35874
3B,3B T-/I-,Explicit,0.3838684818905728,0.001475166094565757,5,19465
3B,3B T-/I-,Ambiguous,0.3338289962825279,0.0030450965386560175,5,16409
