family,series,split,accuracy,accuracy_std,seed_count,total
1B,1B T+/I+,Overall,0.3546523944918325,0.001623891170374,5,35874
1B,1B T+/I+,Explicit,0.3501258669406627,0.0023913601268236,5,19465
1B,1B T+/I+,Ambiguous,0.3600219391797184,0.0012223424694092,5,16409
1B,1B T-/I-,Overall,0.3320399174889892,0.0025818646285894,5,35874
1B,1B T-/I-,Explicit,0.3441870023118418,0.0035501436164987,5,19465
1B,1B T-/I-,Ambiguous,0.3176305685904076,0.0028099559713324,5,16409
3B,3B T+/I+,Overall,0.4060823995093939,0.0015527090669243,5,35874
3B,3B T+/I+,Explicit,0.3964654508091446,0.0019513429686739,5,19465
3B,3B T+/I+,Ambiguous,0.4174904016088732,0.001675964962879,5,16409
3B,3B T+/I-,Overall,0.3623404136700675,0.0010943690076473,5,35874
3B,3B T+/I-,Explicit,0.3874955047521192,0.0028322551618652,5,19465
3B,3B T+/I-,Ambiguous,0.3325004570662441,0.0022729058686052,5,16409
3B,3B T-/I+,Overall,0.3946646596420806,0.0018011871423463,5,35874
3B,3B T-/I+,Explicit,0.3851631132802466,0.0012061468762048,5,19465
3B,3B T-/I+,Ambiguous,0.4059357669571577,0.0026553586359966,5,16409
3B,3B T-/I-,Overall,0.3609800970061883,0.0021149835555092,5,35874
3B,3B T-/I-,Explicit,0.3838684818905728,0.0014751660945657,5,19465
3B,3B T-/I-,Ambiguous,0.3338289962825279,0.003045096538656,5,16409
