model_slug,model_label,with_metadata_Ambiguous,with_metadata_Explicit,with_metadata_Overall,without_metadata_Ambiguous,without_metadata_Explicit,without_metadata_Overall,with_metadata_Ambiguous_std,with_metadata_Explicit_std,with_metadata_Overall_std,without_metadata_Ambiguous_std,without_metadata_Explicit_std,without_metadata_Overall_std
gemma4_e2b_it,Gemma-4-E2B-it,0.42079346699981723,0.34546108399691755,0.37991860400289906,0.38562983728441713,0.3382892370922168,0.35994313430339525,0.0014430559274060167,0.0011052035394420675,0.0010484612232507602,0.0014391902469352454,0.0010581102562922497,0.0008869003261799535
gemma4_e4b_it,Gemma-4-E4B-it,0.48004144067280147,0.39926021063447215,0.43621006857334,0.4082150039612408,0.3753403544824043,0.3903774321235435,0.0008966993094985848,0.0011525480947594284,0.0007671038715250829,0.0010074829399809972,0.0004873790382997666,0.0002900911131348102
llama32_1b,LLaMA-3.2-1B,0.4226095435431775,0.32922681736450043,0.37194068127334556,0.40502163446888895,0.3564654508091446,0.3786753637732062,0.0027722322653211395,0.002415573852396053,0.0025640011232093917,0.002467969618053097,0.0016450195765348472,0.0018486837357692566
llama32_3b,LLaMA-3.2-3B,0.444938753123286,0.3811045466221423,0.4103027262083961,0.44625510390639284,0.46521448754174155,0.45654234264369736,0.0012812356658924162,0.0009864660897214083,0.0008813634618214839,0.002770221992934753,0.000762522811552219,0.001095859055937645
mistral7b_v02,Mistral-7B-Instruct-v0.2,0.5943811323054421,0.5765322373490882,0.5846964375313598,0.43972210372356635,0.5111841767274596,0.47849696158777943,0.0021526477647164353,0.001540970952132757,0.0010279162094761905,0.0015848478634184877,0.00159979483291068,0.0006680202141553772
qwen25_0p5b,Qwen2.5-0.5B,0.43956365409226644,0.371394811199589,0.40257568155209905,0.4069595953440185,0.38338556383251987,0.3941684785638624,0.0015515736602263323,0.0012294452220322522,0.001120054669279394,0.0018736123545629586,0.0023065841977411385,0.0017162700829389866
qwen25_1p5b,Qwen2.5-1.5B,0.5071607044914376,0.434348831235551,0.46765345375480843,0.4243403010542995,0.46625224762394046,0.4470814517477839,0.0011120901694737265,0.0019197070550645641,0.0013778711079897768,0.0019449050395798626,0.001214433645381355,0.0010051756917579685
qwen25_3b,Qwen2.5-3B,0.49613017246632946,0.4208168507577703,0.4552656520042371,0.41177402644889993,0.4266015926021063,0.41981936778725537,0.0017009306766960638,0.0008182873276498255,0.0005381457224712547,0.0018601841206731494,0.0017886803327776461,0.0016390368933421997
qwen35_0p8b,Qwen3.5-0.8B,0.4138826253885063,0.3554379655792448,0.382170931593912,0.3802059845206899,0.3737066529668636,0.3766794893237442,0.001087266993693082,0.0014940991970437928,0.0008422782477414287,0.0013347586506266666,0.0014541729515492857,0.00116360770835377
qwen35_2b,Qwen3.5-2B,0.4951429093789993,0.44591831492422296,0.4684339633160507,0.4128100432689378,0.42635499614693034,0.42015944695322516,0.001774348715968041,0.001075429086871391,0.0005625710781113426,0.0017816596192697224,0.0011527770702448972,0.0011807436601471866
qwen35_4b,Qwen3.5-4B,0.36745688341763666,0.30638582070382736,0.33432012042147513,0.3563044670607593,0.3051014641664526,0.3285220493951051,0.00036208058449663553,0.0008101836686033059,0.00047942345905097874,0.000794121086197186,0.0008429137139273114,0.0004052004739999077
qwen35_9b,Qwen3.5-9B,0.37285635931501004,0.30606730028255846,0.33661704855884483,0.3622889877506247,0.30807089648086305,0.3328706026648826,0.00048063243715352105,0.0009336839186762525,0.000575813068950899,0.0008054977608275746,0.0004151472663927339,0.0004383613486270452
