plot,meta,region,test_path,model_a,model_b,n_samples,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot3,with_metadata,africa,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/scratch/amukher6/metacul/models/combined_with_metadata_1b,/scratch/amukher6/metacul/models/combined_with_metadata_500m,1000,2.0686575098129762,2.229257233505421,7.9141912587599235,9.292961015298292,-0.16059972369244457,-0.16459726170434263,-0.15659521642473354,-1.378769756538369,-1.440093694713701,-1.317828066115085,0.0,ok
plot3,with_metadata,america,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,/scratch/amukher6/metacul/models/combined_with_metadata_1b,/scratch/amukher6/metacul/models/combined_with_metadata_500m,1000,2.2738734142490453,2.4405255227892746,9.716965848611585,11.479071671723945,-0.16665210854022927,-0.1703845704681377,-0.16296191702840132,-1.7621058231123605,-1.8329302058218213,-1.6941574013433842,0.0,ok
plot3,with_metadata,asia,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/scratch/amukher6/metacul/models/combined_with_metadata_1b,/scratch/amukher6/metacul/models/combined_with_metadata_500m,1000,2.1691928153988456,2.3267046731616765,8.751217341179835,10.244128100222063,-0.15751185776283094,-0.16099578941364617,-0.15396638941179183,-1.4929107590422284,-1.5583921982249211,-1.4266294023372088,0.0,ok
plot3,with_metadata,europe,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/scratch/amukher6/metacul/models/combined_with_metadata_1b,/scratch/amukher6/metacul/models/combined_with_metadata_500m,1000,2.1941413058392385,2.3587478687182823,8.972293292128127,10.577698489773132,-0.16460656287904385,-0.16838667987798628,-0.16063428161440552,-1.6054051976450054,-1.6823201874629523,-1.532133020798033,0.0,ok
plot3,with_metadata,combined,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,/scratch/amukher6/metacul/models/combined_with_metadata_1b,/scratch/amukher6/metacul/models/combined_with_metadata_500m,1000,2.2138557379120765,2.3769903011869586,9.150932053883572,10.772432248503689,-0.16313456327488218,-0.16656709129397235,-0.15969898119021944,-1.6215001946201166,-1.6943523893777683,-1.5473335554184038,0.0,ok
plot3,without_metadata,africa,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/scratch/amukher6/metacul/models/combined_without_metadata_1b,/scratch/amukher6/metacul/models/combined_without_metadata_500m,1000,2.1656106031037567,2.3223920850543402,8.719924704719695,10.200044520691133,-0.1567814819505835,-0.1608979956583746,-0.15266899430269654,-1.4801198159714382,-1.5504774450694967,-1.4105607823267001,0.0,ok
plot3,without_metadata,america,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/without_metadata/,/scratch/amukher6/metacul/models/combined_without_metadata_1b,/scratch/amukher6/metacul/models/combined_without_metadata_500m,1000,2.346749431438187,2.5090535537893297,10.451540997745584,12.293289615478544,-0.16230412235114278,-0.16634879516236328,-0.15865270199321752,-1.8417486177329607,-1.915732225957833,-1.7716499791349043,0.0,ok
plot3,without_metadata,asia,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/scratch/amukher6/metacul/models/combined_without_metadata_1b,/scratch/amukher6/metacul/models/combined_without_metadata_500m,1000,2.257424589826696,2.411040827019726,9.558440535224815,11.14555570558088,-0.15361623719303008,-0.1572318372696459,-0.14991372501526648,-1.587115170356066,-1.6587813353692034,-1.5164154036517092,0.0,ok
plot3,without_metadata,europe,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/scratch/amukher6/metacul/models/combined_without_metadata_1b,/scratch/amukher6/metacul/models/combined_without_metadata_500m,1000,2.2694769983969865,2.4285213466801294,9.674339795506643,11.342098642804373,-0.15904434828314296,-0.16288834013361747,-0.15523114714889955,-1.6677588472977298,-1.7450462839984087,-1.5916177567047824,0.0,ok
plot3,without_metadata,combined,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,/scratch/amukher6/metacul/models/combined_without_metadata_1b,/scratch/amukher6/metacul/models/combined_without_metadata_500m,1000,2.298954804691483,2.456033772621009,9.963762932273246,11.658479538348972,-0.15707896792952614,-0.16066812204168823,-0.1536548754998922,-1.6947166060757262,-1.772352913797778,-1.6236323256577574,0.0,ok
