plot,size,train_continent,test_continent,test_path_a,test_path_b,model_a,model_b,n_samples_a,n_samples_b,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot5,500m,africa,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,1000,2.2545993372379747,2.2545993372379747,9.5314736384436,9.5314736384436,0.0,-0.06219374472960998,0.060291272253326235,0.0,-0.5896832736159732,0.5753463874442893,0.995,ok
plot5,500m,africa,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,3.0719537821354175,2.7705517618932043,21.58403200197338,15.967441805587814,0.3014020202422132,0.26296134567095253,0.34086517369729025,5.616590196385566,4.880680659863035,6.366221980778048,0.0,ok
plot5,500m,africa,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,1000,2.9940563558423254,2.7398780866011583,19.966509717084524,15.485097140434927,0.25417826924116715,0.21261136269551018,0.2947035857166042,4.481412576649596,3.741502488773417,5.2093091990805505,0.0,ok
plot5,500m,africa,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,1000,3.0814224837472852,2.822554327814998,21.78937539404286,16.819759026130885,0.2588681559322872,0.21448165236977584,0.3020023011467223,4.969616367911975,4.126601356051512,5.817924927008891,0.0,ok
plot5,500m,america,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,1000,2.7705517618932043,3.0719537821354175,15.967441805587814,21.58403200197338,-0.3014020202422132,-0.34172679336673983,-0.26364558152730005,-5.616590196385566,-6.361365768319464,-4.892498562180441,0.0,ok
plot5,500m,america,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,2.286688664966024,2.286688664966024,9.842292533411253,9.842292533411253,0.0,-0.047625470141590874,0.04453346990858895,0.0,-0.4684006164825003,0.44103545430050356,0.976,ok
plot5,500m,america,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,1000,2.6497813661970544,2.78257916867358,14.150944432341833,16.16064828078599,-0.13279780247652573,-0.17445597234624455,-0.0949945880155409,-2.009703848444156,-2.6405542242763547,-1.4426674918621651,0.0,ok
plot5,500m,america,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,1000,2.74222639569224,2.7735273427299747,15.521503664981896,16.015024978116163,-0.03130094703773478,-0.06648100487151881,0.0031840073259112203,-0.4935213131342664,-1.0540102065554007,0.04929199737391761,0.081,ok
plot5,500m,asia,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,1000,2.7398780866011583,2.9940563558423254,15.485097140434927,19.966509717084524,-0.25417826924116715,-0.29541943955168015,-0.2137145051924723,-4.481412576649596,-5.2320043411889126,-3.758652448058321,0.0,ok
plot5,500m,asia,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,2.78257916867358,2.6497813661970544,16.16064828078599,14.150944432341833,0.13279780247652573,0.09371056825566995,0.1741207200657545,2.009703848444156,1.4212181235668875,2.635019161989679,0.0,ok
